Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Felix Jahn,https://www.crunchbase.com/person/felix-jahn,Individual/Angel,26,9,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed","Felix is an active entrepreneur and business angel. A WHU graduate, Felix was one of the first MDs of Rocket Internet, responsible for many ...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.felixjahn.com,https://www.linkedin.com/in/felixjahn/,24,,1
Rolf Schromgens,https://www.crunchbase.com/person/rolf-schrömgens,"Individual/Angel, Investment Partner",26,2,"Düsseldorf, Nordrhein-Westfalen, Germany",Seed,Rolf Schromgens - Co-Founder @ leadership.sprouts,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/rolf-schroemgens-4a456a3,25,2,
Robin Haak,https://www.crunchbase.com/person/robin-haak,"Individual/Angel, Investment Partner",25,2,"Berlin, Berlin, Germany","Early Stage Venture, Seed, Venture","Robin Eric Haak was born in Hanover, Germany and was graduated from Gymnasium in Hanover. Haak studied political science, law and economics ...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://robincap.com/,https://www.linkedin.com/in/robinhaak,22,,
Verena Pausder,https://www.crunchbase.com/person/verena-pausder,Individual/Angel,25,2,"Berlin, Berlin, Germany",,Verena Pausder,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/verenapausder,20,,1
Hanno Renner,https://www.crunchbase.com/person/hanno-renner,Individual/Angel,24,2,"Munich, Bayern, Germany",,"After working as skipper of sailing yachts for many years next to his studies, Hanno decided to become the captain of a startup. He co-found...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/hanno-renner,23,,
Maximilian Tayenthal,https://www.crunchbase.com/person/maximilian-tayenthal,Individual/Angel,24,2,"Berlin, Berlin, Germany",,"Maximilian Tayenthal is co-founder and co-CEO of N26. Together with his business partner and friend Valentin Stalf, he built one of the firs...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/maximilian-tayenthal-04019a68/,19,,
Rouven Dresselhaus,https://www.crunchbase.com/person/rouven-dresselhaus,Individual/Angel,24,6,"Berlin, Berlin, Germany","Early Stage Venture, Seed","Rouven Dresselhaus is Co-Founder and Managing Partner at Cavalry Ventures. His most notable investments at Cavalry include McMakler, Forto a...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/rouvendresselhaus/,20,,1
Klaas Kersting,https://www.crunchbase.com/person/klaas-kersting,"Individual/Angel, Investment Partner",23,7,"Karlsruhe, Baden-Wurttemberg, Germany","Early Stage Venture, Seed",Klaas Kersting is a serial entrepreneur (Gameforge / flaregames / Phoenix Games) and Seed-/Early-stage investor in startups in games and e-c...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/klaaskersting,22,1,
Michael Brehm,https://www.crunchbase.com/person/michael-brehm,Individual/Angel,22,9,"München, Bayern, Germany",Seed,"Michael Brehm is one of the biggest names in the German startup scene. Having sold companies to Google and eBay, taken one company public, a...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/michaelbrehm,19,,
Roman Kirsch,https://www.crunchbase.com/person/roman-kirsch,Individual/Angel,22,5,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Seed",Roman Kirsch is the Entrepreneur and Investor of Rapid Pioneers Group.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://rapid-pioneers.com/,http://www.linkedin.com/in/romankirsch,18,4,1
Andreas Klinger,https://www.crunchbase.com/person/andreas-klinger,"Individual/Angel, Investment Partner",21,,"Berlin, Berlin, Germany","Early Stage Venture, Seed","Hello, my name is Andreas Klinger.I am leading the eng team @ On Deck (beondeck.com). Previously I led things related to eng, product & remo...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://klinger.io,http://www.linkedin.com/in/andreasklinger,19,,
Eric Quidenus-Wahlforss,https://www.crunchbase.com/person/eric-wahlforss,Individual/Angel,20,5,"Berlin, Berlin, Germany",Seed,Eric Wahlforss is the Co-Founder and CEO of Dance. He co-Founded SoundCloud Limited in 2007 and serves as its Chief Technology Officer. Eric...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://de.linkedin.com/in/ericw,19,,
Martin Sinner,https://www.crunchbase.com/person/martin-sinner,Individual/Angel,20,3,"Berlin, Berlin, Germany",Seed,Martin Sinner is the COO at 360dialog.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://martinsinner.com,http://www.linkedin.com/in/martinsinner,19,2,
Matteo Gamba,https://www.crunchbase.com/person/matteo-gamba,Individual/Angel,20,,"Berlin, Berlin, Germany","Crowdfunding, Early Stage Venture, Post-Ipo, Secondary Market, Seed","Matteo leads the product teams taking care of Payments & Fraud at Wayfair, one of the top e-commerce retailers selling furniture and home go...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://about.me/matteogamba,https://www.linkedin.com/in/matteogamba,12,,
Michael Wax,https://www.crunchbase.com/person/michael-wax,Individual/Angel,19,1,"Munich, Bayern, Germany",,Michael Wax is the Managing Director and Co-Founder of Forto.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/mikewax,15,,
Philipp Moehring,https://www.crunchbase.com/person/philipp-moehring,"Individual/Angel, Investment Partner",19,4,"Berlin, Berlin, Germany","Early Stage Venture, Seed","Philipp is an earliest stage technology investor in Berlin. He invested in more than 100 companies across various sectors, including open so...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://philippmoehring.de,http://www.linkedin.com/in/moehring,18,,
Julius Göllner,https://www.crunchbase.com/person/julius-göllner,"Individual/Angel, Investment Partner",19,3,"Berlin, Berlin, Germany",,Julius Göllner - Co-Founder @ ARRtist Summit,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/julius-goellner,19,,
Florian Huber,https://www.crunchbase.com/person/florian-huber,Individual/Angel,19,5,"Starnberg, Bayern, Germany",Seed,"Florian Huber is a Founder and long-term CEO at united-domains AG, a Founder at chainEurope, a Venture Partner at Signature Ventures, and a ...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.florianhuber.de,https://www.linkedin.com/in/florianhuber,17,1,
Jag Singh,https://www.crunchbase.com/person/jag-singh,"Individual/Angel, Investment Partner",18,5,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Seed","Jag is one of Europe's most active angel investors, and is a Managing Partner at Angel Invest Ventures in Berlin. He's founded several compa...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://jag.eu,https://www.linkedin.com/in/jagsingh85,18,,1
Nils Glagau,https://www.crunchbase.com/person/nils-glagau,Individual/Angel,18,,"Cologne, Nordrhein-Westfalen, Germany",,Nils Glagau,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/nilsglagau/?originalSubdomain=de,18,7,
Dagmar Wöhrl,https://www.crunchbase.com/person/dagmar-wöhrl,Individual/Angel,18,,"Germany, Europe",,Dagmar Wöhrl,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,18,2,
Heiko Hubertz,https://www.crunchbase.com/person/heiko-hubertz,"Individual/Angel, Investment Partner",17,3,"Hamburg, Hamburg, Germany",Seed,Heiko Hubertz - Founder & CEO @ OXOLO,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/heikohubertz/,17,2,
Tim Schumacher,https://www.crunchbase.com/person/tim-schumacher,"Individual/Angel, Investment Partner",17,2,"Cologne, Nordrhein-Westfalen, Germany",Seed,Tim Schumacher is a Managing General Partner at World Fund. Tim previously worked at Sedo.com as a Member Board Of Directors. He attended Un...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/timschumacher,15,2,
Mehrdad Piroozram,https://www.crunchbase.com/person/mehrdad-piroozram,"Individual/Angel, Investment Partner",16,2,"Cologne, Nordrhein-Westfalen, Germany","Seed, Venture",Mehrdad Piroozram is the Founder and Partner of InsurTech and the Co-Founder of Soonami.io. He previously worked at Pironet as a Founder and...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,http://www.linkedin.com/in/mehrdadpiroozram,15,3,1
Anton Gauffin,https://www.crunchbase.com/person/anton-gauffin,Individual/Angel,15,1,"Berlin, Berlin, Germany",Seed,Anton Gaufﬁn is the Founder of Sumoing.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/antongauffin,13,2,
Christophe Maire,https://www.crunchbase.com/person/christophe-maire,"Individual/Angel, Investment Partner",14,4,"Berlin, Berlin, Germany",Seed,"Christophe F. Maire is the Founding Partner and CEO of Atlantic Labs, a Berlin-based seed investor dedicated to identifying and investing in...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,http://www.linkedin.com/pub/christophe-maire/6/319/907,13,,
Robert Gentz,https://www.crunchbase.com/person/robert-gentz,Individual/Angel,14,1,"Berlin, Berlin, Germany",Seed,Robert Gentz is the Co-CEO & Co-Founder of Zalando SE. He previously worked at Unibicate as a CEO. Robert Gentz attended WHU – Otto Beisheim...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/robert-gentz-81988140,14,1,
Lucas Cranach,https://www.crunchbase.com/person/lucas-von-cranach,Individual/Angel,14,3,"Berlin, Berlin, Germany",Seed,Lucas von Cranach is like a Football. He was a supporter of 1. FC Cologne long before he was set to become an entrepreneur in the football i...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/lucas-von-cranach-97793a40,14,,
Lea-Sophie Cramer,https://www.crunchbase.com/person/lea-sophie-cramer,Individual/Angel,14,2,"Berlin, Berlin, Germany",Seed,"Lea-Sophie Cramer (born April 16, 1987 in Berlin , Germany ) is a German entrepreneur . She founded in 2013 together with Sebastian Pollok, ...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/lea-sophie-cramer-b6869326,13,,1
Felix Haas,https://www.crunchbase.com/person/felix-haas,"Individual/Angel, Investment Partner",14,2,"Munich, Bayern, Germany",Seed,Felix Haas is the Executive Chairman and Founder of IDnow. He previously worked at amiando GmbH as a CEO and Co-Founder. Felix Haas attended...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/felixhaas,13,,
Sujay Tyle,https://www.crunchbase.com/person/sujay-tyle,Individual/Angel,14,,"Berlin, Berlin, Germany",Seed,"Sujay is the 26-year old CEO and Co-Founder of Frontier Car Group (FCG), a Berlin-based, emerging markets-focused automotive marketplace. Su...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,http://www.linkedin.com/pub/sujay-tyle/15/264/962,14,1,
Adam Wiggins,https://www.crunchbase.com/person/adam-wiggins,Individual/Angel,14,3,"Berlin, Berlin, Germany",Seed,Adam Wiggins is the Co-Founder and Partner at MuseApp.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/adam-wiggins-a7623845,14,,
Scott Chacon,https://www.crunchbase.com/person/scott-chacon,"Individual/Angel, Investment Partner",14,1,"Berlin, Berlin, Germany",Seed,Scott Chacon is a Git evangelist and Ruby developer currently as the Co-founder and CEO of Chatterbug. He is the author of the Pro Git book ...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://scottchacon.com/,http://www.linkedin.com/in/schacon,13,,
Feliks Eyser,https://www.crunchbase.com/person/feliks-eyser-24cf,Individual/Angel,14,,"Berlin, Berlin, Germany",,Feliks Eyser is the founding partner of JETPACK.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/eyser/,14,,
Udo Schloemer,https://www.crunchbase.com/person/udo-schloemer,"Individual/Angel, Investment Partner",14,2,"Berlin, Berlin, Germany",Seed,Udo Schloemer is the Managing Director at Viva Forever. Udo Schloemer founded his first company in 1992 and realized € 500 million project v...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/udo-schloemer-b7a39630/,11,1,
Rubin Ritter,https://www.crunchbase.com/person/rubin-ritter,Individual/Angel,14,,"Berlin, Berlin, Germany",Seed,Rubin is Co-CEO of Zalando and has been a Member of the Management Board at Zalando SE since he joined the company in 2010. He is responsibl...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/rubin-ritter-03268546,14,1,
Christian Gaiser,https://www.crunchbase.com/person/christian-gaiser,"Individual/Angel, Investment Partner",14,3,"Berlin, Germany, Europe",Seed,"Christian Gaiser is CEO of Bonial International Group, the global leading network of location-based shopping apps and technology, operating ...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/christiangaiser,12,1,
Lawrence Leuschner,https://www.crunchbase.com/person/lawrence-leuschner,"Individual/Angel, Investment Partner",14,1,"Berlin, Berlin, Germany",,Lawrence Leuschner is the CEO & Co-Founder at TIER Mobility.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/lawrence-leuschner-8112776,14,,
Andreas Kupke,https://www.crunchbase.com/person/andreas-kupke,Individual/Angel,13,,"Hamburg, Hamburg, Germany",,Andreas Kupke is the COO at Finanzcheck.de.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/andreas-kupke-25186313,10,,
Stefan George,https://www.crunchbase.com/person/stefan-george,Individual/Angel,13,,"Berlin, Berlin, Germany",,Stefan George - Co-Founder & CTO @ Gnosis,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/stefangeorge/,13,,
Anne Lemcke,https://www.crunchbase.com/person/anne-lemcke,Individual/Angel,13,,"Jesteburg, Niedersachsen, Germany",,Anne Lemcke is the Co-Founder and Managing Director of Ankerkraut. She attended  Box Hill Institute.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/anne-lemcke-650b23189/,12,,
Benedikt Franke,https://www.crunchbase.com/person/benedikt-franke,"Individual/Angel, Investment Partner",13,3,"Berlin, Berlin, Germany",Seed,Benedikt Franke is the co-founder of Helpling.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/benedikt-franke,11,,
Florian Heinemann,https://www.crunchbase.com/person/dr-florian-heinemann,"Individual/Angel, Investment Partner",13,6,"Berlin, Berlin, Germany","Early Stage Venture, Seed, Venture","Florian Heinemann is a Founding Partner at Project A Ventures, where he is responsible for the areas of marketing, CRM, and business intelli...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.florian-heinemann.de,https://www.linkedin.com/in/fheinemann/,10,,1
Robert Maier,https://www.crunchbase.com/person/robert-maier,"Individual/Angel, Investment Partner",13,2,"Berlin, Berlin, Germany",Seed,Robert Maier is a Business Angel at Saarbrücker21 and an investor at various companies. Robert was a Founder and Managing Director at Visual...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/robert-maier-02742b15,10,,
Philipp Kloeckner,https://www.crunchbase.com/person/philipp-kloeckner,Individual/Angel,12,2,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Seed, Venture",Philipp has been product manager and inhouse SEO at the market leading price comparison in Germany (Idealo.de) for 6 years. He specializes i...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://pip.net/,https://www.linkedin.com/in/kloeckner,10,,
Andrej Henkler,https://www.crunchbase.com/person/andrej-henkler,Individual/Angel,12,,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture","Entrepreneurial investments High-Tech, Internet and Media companies in US and Europe. Portfolio companies include among others Palantir Tec...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://leblon-capital.notion.site/,https://de.linkedin.com/in/andrej-henkler-021993,12,,
Andy Bechtolsheim,https://www.crunchbase.com/person/andy-bechtolsheim,Individual/Angel,12,1,"Germany, Europe",,Andy Bechtolsheim,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,11,2,1
Declan Kelly,https://www.crunchbase.com/person/declan-kelly-2,"Individual/Angel, Investment Partner",12,1,"Berlin, Berlin, Germany","Early Stage Venture, Seed","Founder of Foreword.vc, an early-stage micro fund backing startups throughout their initial chapters. Also advisor at Web Summit and EiR at ...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.deckelly.com/,https://www.linkedin.com/in/kellydeclan/,12,,
Frank Thelen,https://www.crunchbase.com/person/frank-thelen,"Individual/Angel, Investment Partner",12,3,"Cologne, Nordrhein-Westfalen, Germany",Seed,Frank Thelen is the Founder & CEO of 10xDNA Capital Partners. He previously worked at mytaxi - The Taxi App as an Investor. Frank Thelen att...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://frank.io/en/,https://www.linkedin.com/in/frank-thelen/,12,3,1
Jan Deepen,https://www.crunchbase.com/person/jan-deepen,"Individual/Angel, Investment Partner",12,,"Berlin, Berlin, Germany",Seed,"Before Zeitgold, Jan was a co-founder of the FinTech company SumUp and its chief commercial officer. Before SumUp, he was a principal at the...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/jan-deepen-30937250,11,,
Paul Schwarzenholz,https://www.crunchbase.com/person/paul-schwarzenholz,Individual/Angel,12,1,"Berlin, Berlin, Germany",Seed,Paul Schwarzenholz - Co-Founder and Managing Director @ zenloop,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/paul-schwarzenholz-88a0485b/,12,1,
Julius Koehler,https://www.crunchbase.com/person/julius-koehler,"Individual/Angel, Investment Partner",12,1,"Berlin, Berlin, Germany",,Julius Koehler is the Co-Founder and Managing Director of Sennder.  He was the Head of Sales at Styla and Senior Director of Business Develo...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/julius-koehler-b68a4494/,12,,
Jens Wasel,https://www.crunchbase.com/person/jens-wasel,Individual/Angel,12,1,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Investor | Founder & Mentor @ Scale Invest | Board Member @ Oetker Digital | Co-Founder @ KW-Commerce,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://scaleinvest.de/,https://www.linkedin.com/in/jenswasel/,12,,
Rajeev Motwani,https://www.crunchbase.com/person/rajeev-motwani,Individual/Angel,12,7,"Ingolstadt, Bayern, Germany",Seed,"Rajeev Motwani currently works as a Data Scientist at MediaMarktSaturn. Rajeev was a professor of computer science at Stanford University, w...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://theory.stanford.edu/~rajeev,https://www.linkedin.com/in/rajeevmotwani,11,1,
Stefan Jeschonnek,https://www.crunchbase.com/person/stefan-jeschonnek,"Individual/Angel, Investment Partner",12,,"Berlin, Berlin, Germany",Seed,"Before Zeitgold, Stefan was a co-founder of the FinTech company SumUp and its chief product officer. He holds an MBA from the Stanford Gradu...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/stefanjeschonnek,11,,
Mirko Novakovic,https://www.crunchbase.com/person/mirko-novakovic,"Individual/Angel, Investment Partner",12,1,"Cologne, Nordrhein-Westfalen, Germany",,CEO at Dash0 Angel Investor at New Forge,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/mirkonovakovic/,12,1,
Vijay Pravin Maharajan,https://www.crunchbase.com/person/vijay-pravin-maharajan,"Individual/Angel, Investment Partner",11,,"Munich, Bayern, Germany","Early Stage Venture, Initial Coin Offering, Seed",Founder & CEO - bitsCrunch |  Entrepreneur |  Angel Investor | TEDx Speaker | Blockchain & NFT,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://bitscrunch.com/,https://www.linkedin.com/in/vijaypravin,11,,
Christoph Janz,https://www.crunchbase.com/person/christoph-janz,"Individual/Angel, Investment Partner",11,4,"Ludwigsburg-eglosheim, Baden-Wurttemberg, Germany",Seed,"Christoph has invested in more than 20 SaaS startups and lives and breathes SaaS, everything from “A as in AI-enhanced B2B software” to “Z a...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://christophjanz.blogspot.in/,http://www.linkedin.com/in/christophjanz,8,,1
Patrick Andrae,https://www.crunchbase.com/person/dr--patrick-andrae,Individual/Angel,11,,"Berlin, Berlin, Germany",,"Patrick is the CEO & Co-Founder of HomeToGo, an independent vacation rental metasearch engine .Previously, he was a Director of Business Dev...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/patrickandrae,11,,
Andreas Burike,https://www.crunchbase.com/person/andreas-burike,Individual/Angel,11,,"Ulm, Baden-Wurttemberg, Germany",,Andreas Burike is the Founder and CFO of AnyDesk.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/andreas-burike-b96b8037/,10,,
David Nothacker,https://www.crunchbase.com/person/david-nothacker,"Individual/Angel, Investment Partner",11,,"Berlin, Berlin, Germany",,David Nothacker is the Co-Founder & CEO at Sennder.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/david-nothacker/,10,,
Thomas Bachem,https://www.crunchbase.com/person/thomas-bachem,Individual/Angel,11,1,"Berlin, Berlin, Germany",Seed,"Thomas  Bachem “Tom”  is a passionate entrepreneur, investor and founder of several startups and initiatives, including sevenload, Lebenslau...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,http://www.linkedin.com/in/thomasbachem,8,,
Steffen Zoller,https://www.crunchbase.com/person/steffen-zoller,Individual/Angel,11,,"Berlin, Berlin, Germany","Early Stage Venture, Grant, Seed",Steffen Zoller - Founder & CEO @ Care With Care,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.steffenzoller.de,https://www.linkedin.com/in/dr-steffen-zoller,10,,
Oliver Roskopf,https://www.crunchbase.com/person/oliver-roskopf,Individual/Angel,11,3,"Berlin, Berlin, Germany",Seed,"Oliver Roskopf began his digital career at Rocket Internet in 2008. Following this, he became one of the founding team members who created o...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/oliver-roskopf-6704141,11,,
David Rosskamp,https://www.crunchbase.com/person/david-rosskamp,"Individual/Angel, Investment Partner",10,,"Berlin, Germany, Europe",,"David Rosskamp is the founder and managing partner of Magnetic, a mission-driven technology investment firm. Magnetic funds technology compa...","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.drosskamp.com,https://www.linkedin.com/in/drosskamp/,8,4,
Diego Berdakin,https://www.crunchbase.com/person/diego-berdakin,Individual/Angel,10,5,"Germany, Europe",Seed,Diego Berdakin is the Founder of CloudKitchens. He previously worked at BeachMint as a Founder. Diego Berdakin attended the University of Ca...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,http://www.linkedin.com/in/diegob,10,,
Lukas Brosseder,https://www.crunchbase.com/person/lukas-brosseder,"Individual/Angel, Investment Partner",10,2,"Berlin, Berlin, Germany",Seed,Lukas Brosseder is the Co-CEO & Founder of PlusDental. He previously worked at Affinitas GmbH as a Founder & Managing Director. Lukas Brosse...,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/brosseder/?originalSubdomain=de,8,,
Ralf Reichert,https://www.crunchbase.com/person/ralf-reichert-834a,Individual/Angel,10,,"Cologne, Nordrhein-Westfalen, Germany",,"Ralf Reichert is the Co-CEO, Founder, and Chairman at ESL FACEIT Group. Ralf Reichert attended the University of Duisburg-Essen.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/in/ralf-reichert-00b247/?originalSubdomain=de,7,,
