Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
British International Investment,https://www.crunchbase.com/organization/cdc-group,"Government Office, Venture Capital",369,59,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Seed",British International Investment is a development finance institution and impact investor backed by the UK Government.,"Europe, Middle East, and Africa (EMEA)",1948-01-01,year,https://www.bii.co.uk,https://www.linkedin.com/company/british-international-investment,236,106,38
Parkwalk Advisors,https://www.crunchbase.com/organization/parkwalk-advisors,Venture Capital,322,30,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Parkwalk is an investment management firm focused on UK-based technology companies that are spun out of UK university and research centres.,"Europe, Middle East, and Africa (EMEA)",2009-05-01,day,https://parkwalkadvisors.com/,http://www.linkedin.com/company/park-walk-advisors,165,85,11
Seedrs,https://www.crunchbase.com/organization/seedrs,Venture Capital,319,22,"London, England, United Kingdom","Crowdfunding, Early Stage Venture, Secondary Market, Seed, Venture",Seedrs is a UK-based investment and crowdfunding platform.,"Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.seedrs.com,http://www.linkedin.com/company/397364,243,222,2
Northzone,https://www.crunchbase.com/organization/northzone-ventures,Venture Capital,303,49,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Northzone is a multi-stage venture capital fund that seeks to invest in various sectors.,"Europe, Middle East, and Africa (EMEA)",1996-01-01,year,http://www.northzone.com,http://www.linkedin.com/company/northzone,166,128,11
Ascension,https://www.crunchbase.com/organization/ascension-ventures-limited,"Micro VC, Venture Capital",294,23,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Ascension is an early-stage VC built by exited entrepreneurs to back the next generation of tech and impact founders.,"Europe, Middle East, and Africa (EMEA)",2012-09-01,day,https://www.ascension.vc,https://www.linkedin.com/company/ascensionvc,197,55,
IP Group,https://www.crunchbase.com/organization/ip-group-plc,Venture Capital,288,31,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",IP Group is an IP commercialization company specializing in evolving great ideas into world-changing businesses.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.ipgroupplc.com,http://www.linkedin.com/company/ip-group-plc,166,57,13
Amadeus Capital Partners,https://www.crunchbase.com/organization/amadeus-capital-partners,Venture Capital,278,60,"Cambridge, Cambridgeshire, United Kingdom","Early Stage Venture, Late Stage Venture, Private Equity, Seed","Amadeus Capital Partners caters to the technology sector with seed, early, and later stage venture, and private equity investments.","Europe, Middle East, and Africa (EMEA)",1997-01-01,year,https://amadeuscapital.com,http://www.linkedin.com/company/amadeus-capital-partners,144,79,7
Anthemis,https://www.crunchbase.com/organization/anthemis-group,Venture Capital,257,27,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",Anthemis is an asset management platform investing to change the world by reinventing finance.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.anthemis.com,http://www.linkedin.com/company/anthemis-group-sa,157,92,1
Atomico,https://www.crunchbase.com/organization/atomico,Venture Capital,241,42,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",Atomico is an international investment firm that focuses on helping disruptive technology companies scale globally.,"Europe, Middle East, and Africa (EMEA)",2006-06-01,day,http://www.atomico.com,http://www.linkedin.com/company/atomico,147,95,4
Notion Capital,https://www.crunchbase.com/organization/notion-capital,Venture Capital,234,29,"London, England, United Kingdom","Early Stage Venture, Seed",Notion is an early-stage venture fund that focuses on technology and cloud computing markets.,"Europe, Middle East, and Africa (EMEA)",2009-01-01,year,https://notion.vc,http://www.linkedin.com/company/notion-capital,142,72,1
83North,https://www.crunchbase.com/organization/greylock-partners-israel,Venture Capital,227,34,"London, England, United Kingdom",Late Stage Venture,83North is a global venture capital firm with more than $1.8B million under management.,"Europe, Middle East, and Africa (EMEA)",2006-06-30,day,http://www.83north.com,"https://www.linkedin.com/company/4857804?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId:1034931434037349489,VSRPtargetId:4857804,VSRPcmpt:primary",76,65,5
MMC Ventures,https://www.crunchbase.com/organization/mmc-ventures,Venture Capital,225,26,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",MMC Ventures is an investment firm that invests in technology companies at Seed and Series A.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.mmc.vc,http://www.linkedin.com/company/mmc-ventures,118,92,
Molten Ventures,https://www.crunchbase.com/organization/draper-esprit,Venture Capital,222,50,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Molten Ventures is a venture capital firm that develops and invests in disruptive technology companies.,"Europe, Middle East, and Africa (EMEA)",2006-01-01,year,https://www.moltenventures.com,https://www.linkedin.com/company/molten-ventures,129,107,5
RTP Global,https://www.crunchbase.com/organization/rtp-global,Venture Capital,221,27,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",RTP Global is a venture capital firm that focuses on early-stage technology investments.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,https://rtp.vc/,https://www.linkedin.com/company/rtp-global-vc/,140,68,5
Foresight Group,https://www.crunchbase.com/organization/foresight-group,"Private Equity Firm, Venture Capital",198,35,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Private Equity",Foresight is an infrastructure and private equity investment manager that manages funds on behalf of institutions and retail clients.,"Europe, Middle East, and Africa (EMEA)",1984-01-01,year,http://www.foresightgroup.eu/,https://www.linkedin.com/company/foresight-group,176,118,
Bethnal Green Ventures,https://www.crunchbase.com/organization/bethnal-green-ventures,"Accelerator, Venture Capital",198,3,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Bethnal Green Ventures (BGV) is Europe’s leading early stage tech for good VC.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://bethnalgreenventures.com/apply,http://www.linkedin.com/company/bethnal-green-ventures,162,31,
Venrex,https://www.crunchbase.com/organization/venrex-investment-management,Venture Capital,194,16,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Venrex is a VC firm that backs creative founders to launch and build innovative businesses.,"Europe, Middle East, and Africa (EMEA)",2002-01-01,year,https://www.venrex.partners/,https://www.linkedin.com/company/venrex,123,70,1
Salica,https://www.crunchbase.com/organization/hambroperksltd,Venture Capital,193,17,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Salica (formerly Hambro Perks) is a London-headquartered international investment firm focused on private technology investing.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://salicainvestments.com,https://www.linkedin.com/company/salica-investments,139,47,1
Oxford Capital,https://www.crunchbase.com/organization/oxford-capital-partners,Venture Capital,186,18,"Oxford, Oxfordshire, United Kingdom","Early Stage Venture, Late Stage Venture, Seed",Oxford Capital is a technology venture capital investor based in London and Oxford.,"Europe, Middle East, and Africa (EMEA)",1999-01-01,year,http://www.oxcp.com,http://www.linkedin.com/company/oxford-capital-partners,69,45,4
Abingworth,https://www.crunchbase.com/organization/abingworth-management,Venture Capital,182,84,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",Abingworth is an international investment group dedicated to collaborating with life sciences entrepreneurs.,"Europe, Middle East, and Africa (EMEA)",1973-01-01,year,http://www.abingworth.com,https://www.linkedin.com/company/abingworth,115,52,53
Downing Ventures,https://www.crunchbase.com/organization/downing-ventures,Venture Capital,168,20,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed","Downing Ventures, a division of Downing LLP, invests venture capital into early and growth stage technology businesses.","Europe, Middle East, and Africa (EMEA)",1986-01-01,year,https://downing.co.uk/ventures/,https://www.linkedin.com/company/downingllp/,85,46,2
Frontline Ventures,https://www.crunchbase.com/organization/frontline-ventures,Venture Capital,164,19,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed",Frontline is the venture firm for globally ambitious B2B companies on both sides of the Atlantic,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.frontline.vc,https://www.linkedin.com/company/frontline-ventures,100,68,
Scottish Equity Partners,https://www.crunchbase.com/organization/scottish-equity-partners,"Private Equity Firm, Venture Capital",163,57,"Glasgow, Glasgow City, United Kingdom","Late Stage Venture, Private Equity",Scottish Equity Partners is a technology focused growth equity firm operating across the UK and Europe.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.sep.co.uk,http://www.linkedin.com/company/84929,101,54,6
Fuel Ventures,https://www.crunchbase.com/organization/fuel-ventures-fund,Venture Capital,163,5,"London, England, United Kingdom","Early Stage Venture, Seed, Venture","Fuel Ventures is a technology fund investing in marketplaces, fintech, platforms, and SaaS companies.","Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://fuel.ventures/,https://www.linkedin.com/company/9334794/,121,118,
Janus Henderson Investors,https://www.crunchbase.com/organization/janus-henderson-investors,"Private Equity Firm, Venture Capital",162,102,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Venture",Janus Henderson Investors is an asset manager that helps their clients achieve their financial goals.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.janushenderson.com/henderson,https://www.linkedin.com/company/janus-henderson-us,142,15,91
Firstminute Capital,https://www.crunchbase.com/organization/firstminute-capital,Venture Capital,162,9,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture","Firstminute Capital is an early-stage venture fund based in London, investing globally. Backed by 30 unicorn founders and global strategics.","Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://firstminute.capital/,https://www.linkedin.com/company/firstminutecap/,119,45,
Force Over Mass Capital,https://www.crunchbase.com/organization/force-over-mass-capital,Venture Capital,162,16,"London, England, United Kingdom","Convertible Note, Debt, Early Stage Venture, Seed, Venture",Force Over Mass Capital is a London based venture capital firm focused on early-stage technology investments.,"Europe, Middle East, and Africa (EMEA)",2013-02-01,day,http://www.fomcap.com/,https://www.linkedin.com/company/force-over-mass-capital/,125,36,
GSR,https://www.crunchbase.com/organization/gsr,Venture Capital,161,1,"London, England, United Kingdom",Early Stage Venture,"GSR, founded in 2013, is a global leader in digital asset trading and market making.","Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.gsr.io,https://www.linkedin.com/company/gsr-markets,154,7,
Techstart Ventures,https://www.crunchbase.com/organization/techstart-ventures,Venture Capital,161,7,"Belfast, Belfast, United Kingdom","Convertible Note, Early Stage Venture, Grant, Seed, Venture",Techstart Ventures is a first-cheque investor for extraordinary founders pursuing uncapped global opportunities.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.techstart.vc/,https://www.linkedin.com/company/techstart-ventures/,104,83,1
Nauta Capital,https://www.crunchbase.com/organization/nauta-capital,Venture Capital,157,25,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Nauta Capital is a pan-European Venture Capital firm investing in early stage B2B software companies.,"Europe, Middle East, and Africa (EMEA)",2004-01-01,year,http://www.nautacapital.com,https://www.linkedin.com/company/nautacapital,92,82,
IQ Capital,https://www.crunchbase.com/organization/iq-capital-partners,Venture Capital,156,17,"Cambridge, Cambridgeshire, United Kingdom","Early Stage Venture, Seed",IQ Capital is a Cambridge & London -based VC firm investing in early-stage deeptech companies.,"Europe, Middle East, and Africa (EMEA)",2006-01-01,day,http://www.iqcapital.vc,https://www.linkedin.com/company/iq-capital-partners,86,48,2
7percent Ventures,https://www.crunchbase.com/organization/7-percent,"Micro VC, Venture Capital",154,12,"London, England, United Kingdom","Crowdfunding, Early Stage Venture, Seed, Venture","Ex-founders turned VCs, 7percent invests in early stage transformative and deep-tech startups and teams with moonshot ambitions.","Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.7pc.vc/,https://www.linkedin.com/company/7pcventures,110,15,
Oxford Science Enterprises,https://www.crunchbase.com/organization/oxford-sciences-innovation,Venture Capital,152,13,"Oxford, Oxfordshire, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture","Oxford Science Enterprises a university-partnered venture firm, investing in early-stage life science, AI & software, and deep tech.","Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://oxfordscienceenterprises.com/,https://www.linkedin.com/company/oxford-sciences-innovation-plc/,80,60,2
Unilever Ventures,https://www.crunchbase.com/organization/unilever-ventures,"Corporate Venture Capital, Venture Capital",152,29,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Unilever Ventures is the venture capital arm of Unilever and invests in fast growing companies across consumer and enterprise technology.,"Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://www.unileverventures.com,https://www.linkedin.com/company/unileverventures,97,52,7
Seraphim Space,https://www.crunchbase.com/organization/seraphim-capital,Venture Capital,143,5,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Venture",We support space entrepreneurship from inception to exit. We are the global industry leader.,"Europe, Middle East, and Africa (EMEA)",2006-09-17,day,https://seraphim.vc,https://www.linkedin.com/company/seraphim-space/,102,46,3
Pario Ventures,https://www.crunchbase.com/organization/pario-ventures,"Accelerator, Venture Capital",143,20,"London, England, United Kingdom","Crowdfunding, Debt, Early Stage Venture, Grant, Late Stage Venture, Post-Ipo, Seed, Venture","Pario works with entrepreneurs, CEOs, to identify and implement an exit strategy for the founder or shareholders including investment","Europe, Middle East, and Africa (EMEA)",2010-11-11,day,http://www.parioventures.com,https://www.linkedin.com/company/pario-ventures/,135,7,8
Mercia Fund Managers,https://www.crunchbase.com/organization/mercia-fund-management,"Private Equity Firm, Venture Capital",143,14,"Henley In Arden, Warwickshire, United Kingdom","Debt, Early Stage Venture, Private Equity, Seed, Venture","Mercia Fund Managers helps to scale innovative businesses across the UK regions by providing debt, equity and growth capital.","Europe, Middle East, and Africa (EMEA)",2010-01-01,year,https://www.mercia.co.uk,https://www.linkedin.com/company/merciafund,112,93,
Kreos Capital,https://www.crunchbase.com/organization/kreos-capital,"Venture Capital, Venture Debt",138,62,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Private Equity",Kreos Capital is a growth debt firm that provides financing solutions for high-growth companies across Europe and Israel.,"Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.kreoscapital.com,https://www.linkedin.com/company/kreos-capital,117,56,30
Oxford Technology Management,https://www.crunchbase.com/organization/oxford-technology-management,"Micro VC, Venture Capital",133,20,"Oxford, Oxfordshire, United Kingdom","Early Stage Venture, Seed",Oxford Technology Management specializes in making and managing investments in start-up and early stage technology-based businesses.,"Europe, Middle East, and Africa (EMEA)",1983-01-01,year,http://www.oxfordtechnology.com,https://www.linkedin.com/company/oxford-technology-management/,96,9,4
Hedosophia,https://www.crunchbase.com/organization/hedosophia,Venture Capital,130,21,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed",Hedosophia is a global investment firm supporting category defining technology companies,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.hedosophia.com,https://www.linkedin.com/company/hedosophia,114,58,14
Tiny VC,https://www.crunchbase.com/organization/tiny-vc,Venture Capital,130,13,"London, England, United Kingdom","Early Stage Venture, Seed","Early Stage Investments by Philipp Moehring, Andy Chung, Ophelia Cai and Sandra Lyness","Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.tiny.vc/,https://www.linkedin.com/company/tinyvc,125,,
Dawn Capital,https://www.crunchbase.com/organization/dawn-capital,Venture Capital,127,21,"London, England, United Kingdom",Early Stage Venture,Dawn Capital is an early-stage venture fund that focuses on investing in the enterprise software and FinTech sectors.,"Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://www.dawncapital.com,https://www.linkedin.com/company/dawn-capital,74,54,1
SyndicateRoom,https://www.crunchbase.com/organization/syndicateroom,"Micro VC, Venture Capital",124,7,"Cambridge, Cambridgeshire, United Kingdom","Early Stage Venture, Seed",VC fund that builds diversified portfolios of 50+ startups by co‑investing with some of the UK’s best-performing angel investors.,"Europe, Middle East, and Africa (EMEA)",2013-09-21,day,http://www.syndicateroom.com,http://www.linkedin.com/company/syndicate-room,109,11,1
MH Ventures,https://www.crunchbase.com/organization/mh-ventures,Venture Capital,124,1,"London, England, United Kingdom","Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",MH Ventures is a boutique full service Venture Capital firm investing in disruptive technologies of the future.,"Europe, Middle East, and Africa (EMEA)",2021-10-26,day,https://www.mhventures.io/,https://www.linkedin.com/company/mhtechnologiesltd/,117,3,
Felix Capital,https://www.crunchbase.com/organization/felix-capital,Venture Capital,122,12,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","Felix Capital is a venture fund that focuses on digital commerce, digital media, and information technology companies.","Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.felixcap.com,https://www.linkedin.com/company/felix-capital,64,46,3
Connect Ventures,https://www.crunchbase.com/organization/connect-ventures,"Micro VC, Venture Capital",122,18,"London, England, United Kingdom",Seed,"Connect Ventures invests in the best product-led companies in Europe at seed stage. Categories: Consumer, Health, Fintech, SaaS","Europe, Middle East, and Africa (EMEA)",2012-01-01,day,http://www.connectventures.co/,https://www.linkedin.com/company/connect-ventures/,88,68,
Wellcome Trust,https://www.crunchbase.com/organization/wellcome-trust,"Government Office, Venture Capital",120,38,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Private Equity, Seed",Wellcome Trust is a medical research charity that funds research that aims to protect and improving human and animal health.,"Europe, Middle East, and Africa (EMEA)",1936-01-01,year,https://wellcome.org,http://www.linkedin.com/company/wellcome-trust,85,42,21
Episode 1,https://www.crunchbase.com/organization/episode,Venture Capital,120,8,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Seed, Venture","Episode1 Ventures is a venture capital fund set up to invest in early-stage technology companies based in London, UK.","Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.episode1.com,http://www.linkedin.com/company/3242579,65,49,
Uncorrelated Ventures,https://www.crunchbase.com/organization/uncorrelated-ventures,Venture Capital,119,5,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",Uncorrelated Ventures invests in early-stage infrastructure software companies.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://uncorrelated.com/,,98,11,
UK Innovation & Science Seed Fund,https://www.crunchbase.com/organization/rainbow-seed-fund,Venture Capital,115,7,"Harwell, Oxfordshire, United Kingdom","Early Stage Venture, Grant, Seed, Venture",UK Innovation & Science Seed Fund is an early-stage venture capital fund.,"Europe, Middle East, and Africa (EMEA)",2002-01-01,year,https://ukinnovationscienceseedfund.co.uk,https://www.linkedin.com/company/rainbow-seed-fund,72,37,
QVentures,https://www.crunchbase.com/organization/q-ventures,"Angel Group, Family Investment Office, Micro VC, Venture Capital",114,11,"London, England, United Kingdom","Crowdfunding, Early Stage Venture, Late Stage Venture, Seed, Venture",QVentures is a Venture Capital firm providing direct investment opportunities and fund management.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.qventures.co,https://www.linkedin.com/company/q-ventures,110,37,1
Playfair Capital,https://www.crunchbase.com/organization/playfair-capital,"Micro VC, Venture Capital",113,10,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Playfair is a generalist VC fund with a contrarian approach to pre-seed technology investing.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://playfair.vc,https://www.linkedin.com/company/playfair-vc/,73,26,
Social Tech Trust,https://www.crunchbase.com/organization/nominet-trust,"Micro VC, Venture Capital",113,3,"Oxford, Oxfordshire, United Kingdom","Early Stage Venture, Grant",Social Tech Trust is a UK's leading dedicated investor of socially motivated tech.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://socialtechtrust.org/,https://www.linkedin.com/company/social-tech-trust,110,31,
Lightrock,https://www.crunchbase.com/organization/lightrock,"Private Equity Firm, Venture Capital",112,4,"London, England, United Kingdom","Late Stage Venture, Private Equity, Venture",Lightrock is a global growth capital platform that backs purpose-driven entrepreneurs tackling the world’s biggest challenges.,"Europe, Middle East, and Africa (EMEA)",2009-01-01,year,https://www.lightrock.com,https://www.linkedin.com/company/30629111,69,56,2
Hoxton Ventures,https://www.crunchbase.com/organization/hoxton-ventures,"Micro VC, Venture Capital",110,16,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Hoxton Ventures is an early-stage European venture capital firm,"Europe, Middle East, and Africa (EMEA)",2013-11-26,day,https://www.hoxton.vc,https://www.linkedin.com/company/hoxton-ventures,72,49,3
Praetura Ventures,https://www.crunchbase.com/organization/praetura-capital,Venture Capital,106,5,"Manchester, Manchester, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Praetura raise capital and invest in the early stages of business life cycles.,"Europe, Middle East, and Africa (EMEA)",2011-01-01,year,https://www.praeturaventures.com,https://www.linkedin.com/company/praeturaventures,67,81,2
Midlands Engine Investment Fund,https://www.crunchbase.com/organization/midlands-engine-investment-fund,"Venture Capital, Venture Debt",104,2,"Sheffield, Sheffield, United Kingdom","Debt, Early Stage Venture, Seed, Venture",MEIF is an investment firm that operates equity and debt investment towards growth capital.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://meif.co.uk/,https://www.linkedin.com/showcase/midlands-engine-investment-fund/,97,79,1
JamJar Investments,https://www.crunchbase.com/organization/jamjar-investments,Venture Capital,104,16,"London, England, United Kingdom","Early Stage Venture, Private Equity, Secondary Market, Seed, Venture",JamJar Investments is a venture capital firm that invest in high growth digital Consumer brand businesses.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://jamjarinvestments.com/,http://www.linkedin.com/company/jamjar-investments,87,27,3
Catapult Ventures,https://www.crunchbase.com/organization/catapult-venture-managers,Venture Capital,103,29,"Enderby, Leicester, United Kingdom","Early Stage Venture, Seed",Catapult Ventures specialises in providing Equity Capital for businesses requiring between £50k and £2m.,"Europe, Middle East, and Africa (EMEA)",1999-01-01,year,http://www.catapult-ventures.com,https://www.linkedin.com/company/catapult-venture-managers-limited,81,26,2
Piton Capital,https://www.crunchbase.com/organization/piton-capital,Venture Capital,103,13,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Venture","Piton Capital is a venture capital and growth equity firm headquartered in London, United Kingdom.","Europe, Middle East, and Africa (EMEA)",2010-01-01,year,https://www.pitoncap.com/,https://www.linkedin.com/company/piton-capital/,48,25,2
