Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
SV Angel,https://www.crunchbase.com/organization/sv-angel,Venture Capital,"1,448",465,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",SVA is a venture fund that supports entrepreneurs in building lasting companies.,"San Francisco Bay Area, West Coast, Western US",2009-01-01,year,http://www.svangel.com,https://www.linkedin.com/company/sv-angel,"1,152",31,52
Lightspeed Venture Partners,https://www.crunchbase.com/organization/lightspeed-venture-partners,Venture Capital,"1,447",247,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed","Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets.","San Francisco Bay Area, Silicon Valley, West Coast",2000-01-01,year,http://lsvp.com,http://www.linkedin.com/company/lightspeed-venture-partners,813,521,37
Bessemer Venture Partners,https://www.crunchbase.com/organization/bessemer-venture-partners,Venture Capital,"1,439",312,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture","Bessemer Venture Partners is a venture capital firm that invests in enterprise, consumer, and healthcare early-to-late stage startups.","San Francisco Bay Area, West Coast, Western US",1911-01-01,year,http://www.bvp.com,https://www.linkedin.com/company/bessemer-venture-partners,754,509,65
Kleiner Perkins,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,Venture Capital,"1,432",344,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","Kleiner Perkins is a venture capital firm that specializes in investing in early-stage, incubation, and growth companies.","San Francisco Bay Area, Silicon Valley, West Coast",1972-03-01,day,https://www.kleinerperkins.com,https://www.linkedin.com/company/kleinerperkins,722,408,111
General Catalyst,https://www.crunchbase.com/organization/general-catalyst-partners,Venture Capital,"1,389",211,"Cambridge, Massachusetts, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",General Catalyst partners with ambitious founders to drive resilience and applied AI from seed to growth.,"Greater Boston Area, East Coast, New England",2000-01-01,day,http://www.generalcatalyst.com,https://www.linkedin.com/company/general-catalyst,784,577,29
Right Side Capital Management,https://www.crunchbase.com/organization/right-side-capital-management,"Micro VC, Venture Capital","1,379",208,"San Francisco, California, United States","Convertible Note, Early Stage Venture, Seed, Venture",Right Side Capital Management is a technology startup investment firm focused exclusively on the pre-seed stage.,"San Francisco Bay Area, West Coast, Western US",2010-01-01,day,http://rightsidecapital.com,https://www.linkedin.com/company/right-side-capital-management,"1,310",51,2
Newchip Accelerator,https://www.crunchbase.com/organization/newchip,"Accelerator, Incubator, Venture Capital","1,291",11,"Austin, Texas, United States","Early Stage Venture, Seed",Newchip is a global remote startup accelerator.,Southern US,2016-01-01,year,https://www.newchip.com,https://www.linkedin.com/company/newchip/,"1,287",26,
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,Venture Capital,"1,253",171,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture","Khosla Ventures provides venture assistance to entrepreneurs in AI, sustainability, enterprise, consumer, health and frontier technologies.","San Francisco Bay Area, Silicon Valley, West Coast",2004-01-01,year,http://www.khoslaventures.com,https://www.linkedin.com/company/khosla-ventures,649,464,31
Tiger Global Management,https://www.crunchbase.com/organization/tiger-global,"Hedge Fund, Private Equity Firm, Venture Capital","1,189",159,"New York, New York, United States","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed","Investment firm pursuing a long-term approach to investing in leading, global public and private companies","Greater New York Area, East Coast, Northeastern US",2001-03-01,month,https://www.tigerglobal.com/,https://www.linkedin.com/company/tiger-global-management/,782,694,82
Index Ventures,https://www.crunchbase.com/organization/index-ventures,Venture Capital,"1,185",257,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Index Ventures is a venture capital firm that helps the entrepreneurs turn bold ideas into global businesses.,"San Francisco Bay Area, West Coast, Western US",1996-01-01,year,http://www.indexventures.com,http://www.linkedin.com/company/index-ventures,642,471,52
Google Ventures,https://www.crunchbase.com/organization/google-ventures,"Corporate Venture Capital, Venture Capital","1,157",257,"San Francisco, California, United States","Convertible Note, Crowdfunding, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture","Google Ventures is an investment arm of Alphabet that provides seed, venture, and growth-stage funding to technology companies.","San Francisco Bay Area, West Coast, Western US",2009-01-01,year,http://www.gv.com,https://www.linkedin.com/company/googleventures,690,333,64
Advantage Capital,https://www.crunchbase.com/organization/advantage-capital-partners,"Private Equity Firm, Venture Capital","1,133",123,"New Orleans, Louisiana, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Advantage Capital has invested over $3.8 billion in more than 800 portfolio companies and projects nationwide since 1992.,Southern US,1992-01-01,year,http://www.advantagecap.com/,https://www.linkedin.com/company/advantagecapital/,605,92,25
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,"Investment Bank, Venture Capital","1,078",405,"New York, New York, United States","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","Goldman Sachs is a multinational financial services firm providing securities, investment banking, and management services.","Greater New York Area, East Coast, Northeastern US",1869-01-01,day,https://www.goldmansachs.com,http://www.linkedin.com/company/goldman-sachs,834,412,184
Norwest Venture Partners,https://www.crunchbase.com/organization/norwest-venture-partners,"Private Equity Firm, Venture Capital",947,209,"Palo Alto, California, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Venture",Norwest Venture Partners is a venture capital and growth equity investment firm that specializes in venture and growth equity companies.,"San Francisco Bay Area, Silicon Valley, West Coast",1961-06-01,day,http://www.nvp.com,http://www.linkedin.com/company/norwest-venture-partners,475,371,40
Founders Fund,https://www.crunchbase.com/organization/founders-fund,Venture Capital,926,153,"San Francisco, California, United States","Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",Founders Fund is a venture capital firm that invests in companies building revolutionary technologies.,"San Francisco Bay Area, West Coast, Western US",2005-07-01,day,http://www.foundersfund.com,https://www.linkedin.com/company/the-founders-fund,571,287,39
First Round Capital,https://www.crunchbase.com/organization/first-round-capital,Venture Capital,919,210,"San Francisco, California, United States","Debt, Early Stage Venture, Late Stage Venture, Seed",First Round is a venture capital firm that specializes in providing seed-stage funding to technology companies.,"San Francisco Bay Area, West Coast, Western US",2004-11-01,day,http://www.firstround.com,https://www.linkedin.com/company/first-round-capital/,487,200,16
Liquid 2 Ventures,https://www.crunchbase.com/organization/liquid2-ventures,Venture Capital,915,76,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed","Liquid 2 Ventures champions exceptional founders to create pioneering companies through experience, community and capital.","San Francisco Bay Area, West Coast, Western US",2015-08-31,day,http://liquid2.vc,https://www.linkedin.com/company/liquid-2-ventures,715,12,3
Greylock,https://www.crunchbase.com/organization/greylock,Venture Capital,884,269,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Greylock Partners invests in entrepreneurs that focus on consumer and enterprise software companies.,"San Francisco Bay Area, Silicon Valley, West Coast",1965-10-01,month,https://www.greylock.com,https://www.linkedin.com/company/greylock-partners,493,247,56
Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,Venture Capital,861,218,"Boston, Massachusetts, United States","Early Stage Venture, Late Stage Venture, Private Equity, Seed",Battery Ventures is a investment firm that focuses on technology.,"Greater Boston Area, East Coast, New England",1983-01-01,year,http://www.battery.com,http://www.linkedin.com/company/battery-ventures,445,333,34
Gaingels,https://www.crunchbase.com/organization/gaing,"Syndicate, Venture Capital",848,58,"Burlington, Vermont, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Gaingels provides funding to startup companies and supports diversity and inclusion within the entrepreneurial ecosystem.,"New England, Northeastern US",2014-01-01,year,https://gaingels.com,https://www.linkedin.com/company/gaingels,740,9,8
Venrock,https://www.crunchbase.com/organization/venrock,Venture Capital,818,277,"Palo Alto, California, United States","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",Venrock is a venture capital firm investing in technology and healthcare companies.,"San Francisco Bay Area, Silicon Valley, West Coast",1969-01-01,year,http://www.venrock.com,http://www.linkedin.com/company/venrock,432,232,105
Greycroft,https://www.crunchbase.com/organization/greycroft,Venture Capital,812,140,"New York, New York, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",Greycroft is a venture capital firm that focuses on technology start-ups and investments in the Internet and mobile markets.,"Greater New York Area, East Coast, Northeastern US",2006-01-01,year,http://greycroft.com,https://www.linkedin.com/company/greycroft-partners,477,246,8
Menlo Ventures,https://www.crunchbase.com/organization/menlo-ventures,Venture Capital,804,181,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture","Menlo Ventures provides capital for consumer, enterprise, and life science technologies from seed to growth stages.","San Francisco Bay Area, West Coast, Western US",1976-01-01,year,http://www.menlovc.com,https://www.linkedin.com/company/menlo-ventures,411,283,19
Canaan Partners,https://www.crunchbase.com/organization/canaan-partners,Venture Capital,800,168,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Canaan is an early-stage venture capital firm that invests in visionaries with transformative ideas.,"San Francisco Bay Area, Silicon Valley, West Coast",1987-01-01,year,http://www.canaan.com,http://www.linkedin.com/company/canaan-partners,413,267,39
Redpoint,https://www.crunchbase.com/organization/redpoint-ventures,Venture Capital,780,169,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture","Redpoint partners with visionary founders to create new markets or redefine existing ones at the seed, early, and growth stages.","San Francisco Bay Area, Silicon Valley, West Coast",1999-01-01,year,http://redpoint.com,http://www.linkedin.com/company/redpointventures,405,240,35
Goodwater Capital,https://www.crunchbase.com/organization/goodwater-capital,Venture Capital,775,24,"Burlingame, California, United States","Convertible Note, Early Stage Venture, Late Stage Venture, Non Equity Assistance, Seed, Venture",Goodwater Capital is a consumer tech investor that empowers exceptional entrepreneurs everywhere to change the world for the better.,"San Francisco Bay Area, West Coast, Western US",2014-01-01,year,http://www.goodwatercap.com,https://www.linkedin.com/company/goodwater-capital,643,89,
Foundation Capital,https://www.crunchbase.com/organization/foundation-capital,Venture Capital,753,178,"Palo Alto, California, United States","Early Stage Venture, Late Stage Venture, Venture",Foundation Capital is a venture capital firm made up of former entrepreneurs and helps companies and businesses grow.,"San Francisco Bay Area, Silicon Valley, West Coast",1995-10-01,day,http://foundationcapital.com,http://www.linkedin.com/company/foundation-capital,426,205,34
Polaris Partners,https://www.crunchbase.com/organization/polaris-partners,"Private Equity Firm, Venture Capital",737,193,"Boston, Massachusetts, United States","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Polaris Partners is an investment firm that invests in healthcare and biotechnology companies.,"Greater Boston Area, East Coast, New England",1996-01-01,year,http://polarispartners.com,https://www.linkedin.com/company/polaris-partners,390,213,54
True Ventures,https://www.crunchbase.com/organization/true-ventures,Venture Capital,730,118,"Palo Alto, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",True Ventures is a venture capital firm that invests in early-stage technology startups.,"San Francisco Bay Area, Silicon Valley, West Coast",2005-01-01,day,http://www.trueventures.com,https://www.linkedin.com/company/true-ventures,385,259,6
Benchmark,https://www.crunchbase.com/organization/benchmark,Venture Capital,698,194,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture","Benchmark focuses on early-stage venture investing in mobile, marketplaces, social, infrastructure, and enterprise software.","San Francisco Bay Area, West Coast, Western US",1995-01-01,year,http://www.benchmark.com,https://www.linkedin.com/company/benchmark-vc,338,235,51
BoxGroup,https://www.crunchbase.com/organization/boxgroup,Venture Capital,697,123,"New York, New York, United States","Early Stage Venture, Seed",BoxGroup is an early-stage investment fund that invests in technology companies.,"Greater New York Area, East Coast, Northeastern US",2009-01-01,year,http://www.boxgroup.com,https://www.linkedin.com/company/boxgroup,498,26,7
CRV,https://www.crunchbase.com/organization/crvvc,Venture Capital,697,168,"Palo Alto, California, United States","Early Stage Venture, Late Stage Venture",CRV is a venture capital firm that invests in investments in technology companies.,"San Francisco Bay Area, Silicon Valley, West Coast",1970-01-01,year,http://www.crv.com,https://www.linkedin.com/company/crvvc,391,205,19
Mayfield Fund,https://www.crunchbase.com/organization/mayfield-fund,Venture Capital,687,196,"Menlo Park, California, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","Mayfield is an early-stage VC firm investing in enterprise, deeptech, and human and planetary health companies.","San Francisco Bay Area, Silicon Valley, West Coast",1969-01-01,year,http://www.mayfield.com,http://www.linkedin.com/company/mayfield-fund,367,208,38
Bain Capital Ventures,https://www.crunchbase.com/organization/bain-capital-ventures,Venture Capital,669,136,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Bain Capital Ventures invests in seed to growth-stage startups that uses tech to disrupt existing markets or create entirely new ones.,"San Francisco Bay Area, West Coast, Western US",1984-01-01,year,http://baincapitalventures.com,https://www.linkedin.com/company/bain-capital-ventures,371,293,16
Felicis,https://www.crunchbase.com/organization/felicis-ventures,Venture Capital,658,165,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture","Felicis invests in seed through Series C stage companies across multiple sectors, industries, and frontier tech.","San Francisco Bay Area, Silicon Valley, West Coast",2006-10-01,day,http://www.felicis.com,http://www.linkedin.com/company/felicis-ventures,422,142,22
Lerer Hippeau,https://www.crunchbase.com/organization/lerer-ventures,Venture Capital,655,167,"New York, New York, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",Lerer Hippeau is a seed-stage venture capital firm investing equally across the enterprise and consumer sectors.,"Greater New York Area, East Coast, Northeastern US",2010-01-01,year,http://www.lererhippeau.com,https://www.linkedin.com/company/lerer-hippeau-ventures,412,107,8
DCM Ventures,https://www.crunchbase.com/organization/dcm,Venture Capital,643,140,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture","DCM Ventures is a venture capital firm that invests in the mobile, consumer internet, communications, and service sectors.","San Francisco Bay Area, Silicon Valley, West Coast",1996-01-01,year,http://www.dcm.com,http://www.linkedin.com/company/dcm,360,197,44
Atlas Venture,https://www.crunchbase.com/organization/atlas-venture,Venture Capital,612,190,"Cambridge, Massachusetts, United States","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",Atlas Venture creates and invests in biotech startup companies with seed and early stage venture investments.,"Greater Boston Area, East Coast, New England",1980-01-01,year,http://atlasventure.com,http://www.linkedin.com/company/atlas-venture,319,170,50
RRE Ventures,https://www.crunchbase.com/organization/rre-ventures,Venture Capital,601,132,"New York, New York, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",RRE Ventures is a venture capital firm that focuses on investing in early-stage technology companies across a variety of sectors.,"Greater New York Area, East Coast, Northeastern US",1994-09-01,day,http://www.rre.com/,http://www.linkedin.com/company/56708,315,147,16
Spark Capital,https://www.crunchbase.com/organization/spark-capital,Venture Capital,581,105,"San Francisco, California, United States","Debt, Early Stage Venture, Late Stage Venture, Seed, Venture","Spark Capital is a venture capital firm that invests in the consumer, commerce, FinTech, software, frontier, and media sectors.","San Francisco Bay Area, West Coast, Western US",2005-01-01,year,http://www.sparkcapital.com,http://www.linkedin.com/company/spark-capital-llc,316,293,19
U.S. Venture Partners,https://www.crunchbase.com/organization/us-venture-partners,Venture Capital,579,158,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Venture",U.S. Venture Partners is a venture capital firm that focuses on early-stage ventures in information technology and health care.,"San Francisco Bay Area, Silicon Valley, West Coast",1981-01-01,year,http://usvp.com,http://www.linkedin.com/company/57330,284,174,25
Slow Ventures,https://www.crunchbase.com/organization/slow-ventures,Venture Capital,576,135,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture","Slow Ventures invests in companies central to the technology industry and those on the edges of science, society, and culture.","San Francisco Bay Area, West Coast, Western US",2009-01-01,year,https://slow.co,,435,62,16
International Finance Corporation,https://www.crunchbase.com/organization/international-finance-corporation,"Government Office, Private Equity Firm, Venture Capital",571,148,"Washington, District of Columbia, United States","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",International Finance Corporation is a private equity and venture capital subsidiary focused on the private sector in developing countries.,"Washington DC Metro Area, Southern US",1956-07-25,day,http://www.ifc.org,https://www.linkedin.com/company/ifclinkedin,455,328,102
LAUNCH,https://www.crunchbase.com/organization/launch-co,"Accelerator, Angel Group, Venture Capital",556,54,"San Francisco, California, United States","Convertible Note, Early Stage Venture, Seed",Support founders and inspire innovation,"San Francisco Bay Area, West Coast, Western US",2011-01-01,year,http://launch.co,https://www.linkedin.com/company/launch-calacanis/,344,124,3
Matrix,https://www.crunchbase.com/organization/matrix-partners,Venture Capital,541,156,"Cambridge, Massachusetts, United States","Early Stage Venture, Seed, Venture","Matrix is an early-stage venture capital firm, investing from idea through Series A.","Greater Boston Area, East Coast, New England",1977-01-01,year,https://www.matrix.vc,https://www.linkedin.com/company/matrix-vc/,269,174,27
Initialized Capital,https://www.crunchbase.com/organization/initialized-capital,Venture Capital,532,102,"San Francisco, California, United States","Crowdfunding, Early Stage Venture, Late Stage Venture, Seed, Venture",Initialized Capital is an early-stage VC firm focused on helping software engineers and designers with their first seed checks.,"San Francisco Bay Area, West Coast, Western US",2012-01-01,year,http://www.initialized.com,https://www.linkedin.com/company/initialized-capital,314,146,7
Soma Capital,https://www.crunchbase.com/organization/soma-capital,Venture Capital,529,46,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Soma Capital is venture capital fund that focuses on investing in software to automate the world across all sectors and geographies.,"San Francisco Bay Area, West Coast, Western US",2015-03-09,day,http://www.somacap.com,https://www.linkedin.com/company/somacapital,486,16,2
8VC,https://www.crunchbase.com/organization/8vc,Venture Capital,524,42,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed",8VC transform the technology infrastructure behind many industries.,"San Francisco Bay Area, West Coast, Western US",2015-01-01,year,http://www.8vc.com,https://www.linkedin.com/company/8vc,336,158,10
Madrona,https://www.crunchbase.com/organization/madrona-venture-group,Venture Capital,521,106,"Seattle, Washington, United States","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",Madrona is a venture firm that invests in early- to late-stage companies in the Pacific Northwest and beyond.,"Greater Seattle Area, West Coast, Western US",1995-01-01,year,https://www.madrona.com,http://www.linkedin.com/company/madrona-venture-group,266,191,11
Lux Capital,https://www.crunchbase.com/organization/lux-capital,Venture Capital,513,60,"New York, New York, United States","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","Lux Capital is an investment firm that invests in counter-conventional, seed-stage science and technology ventures.","Greater New York Area, East Coast, Northeastern US",2000-01-01,year,http://www.luxcapital.com,http://www.linkedin.com/company/lux-capital,268,145,17
DCVC,https://www.crunchbase.com/organization/data-collective,Venture Capital,513,106,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",DCVC backs entrepreneurs using deep tech to solve problems and multiply the benefits of capitalism for everyone while reducing its cost.,"San Francisco Bay Area, West Coast, Western US",2011-01-01,year,https://www.dcvc.com/,https://www.linkedin.com/company/data-collective,321,94,18
Founder Collective,https://www.crunchbase.com/organization/founder-collective,Venture Capital,508,150,"Cambridge, Massachusetts, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",Founder Collective is a seed-stage venture capital fund that helps entrepreneurs build their businesses.,"Greater Boston Area, East Coast, New England",2009-05-22,day,http://foundercollective.com,https://www.linkedin.com/company/founder-collective,355,30,12
Pareto Holdings,https://www.crunchbase.com/organization/pareto-holdings,Venture Capital,507,45,"Miami, Florida, United States","Early Stage Venture, Seed",Pareto Holdings is an early-stage investment vehicle led by Edward Lando.,"Greater Miami Area, East Coast, Southern US",2020-01-01,year,https://www.pareto20.com/,https://www.linkedin.com/company/paretoholdings/about/,497,9,1
Highland Capital Partners,https://www.crunchbase.com/organization/highland-capital-partners,Venture Capital,503,149,"Lexington, Massachusetts, United States","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture","Highland Capital Partners is a venture capital firm that offers seed, early and growth-stage funding solutions.","Greater Boston Area, East Coast, New England",1987-01-01,year,http://www.hcp.com,https://www.linkedin.com/company/highland-capital-partners,265,155,36
Headline,https://www.crunchbase.com/organization/headlinevc,Venture Capital,498,77,"San Francisco, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Headline is a global venture capital firm investing in winning teams across stages and geographies.,"San Francisco Bay Area, West Coast, Western US",1998-01-01,year,http://headline.com,https://www.linkedin.com/company/headlinevc,284,169,13
ARCH Venture Partners,https://www.crunchbase.com/organization/arch-venture-partners,Venture Capital,497,110,"Chicago, Illinois, United States","Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture","ARCH is a venture firm that focuses on life science discoveries to prevent, detect, and cure disease.","Greater Chicago Area, Great Lakes, Midwestern US",1986-01-01,year,http://www.archventure.com,https://www.linkedin.com/company/avpvc,257,127,59
GGV Capital,https://www.crunchbase.com/organization/ggv-capital,Venture Capital,489,49,"Menlo Park, California, United States","Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture","GGV Capital is a global venture capital firm that split into two separate firms, Granite Asia and Notable Capital, effective 3/29/24.","San Francisco Bay Area, Silicon Valley, West Coast",2000-01-01,year,https://www.ggvc.com,,316,182,31
Crosslink Capital,https://www.crunchbase.com/organization/crosslink-capital,Venture Capital,480,109,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture","Crosslink Capital partners with founders that are market disrupters and category creators, typically at the Seed-Series A stage.","San Francisco Bay Area, Silicon Valley, West Coast",1989-01-01,year,http://www.crosslinkcapital.com,http://www.linkedin.com/company/crosslink-capital,274,158,12
F-Prime Capital,https://www.crunchbase.com/organization/f-prime-capital-partners,Venture Capital,476,94,"Cambridge, Massachusetts, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",F-Prime Capital is a venture capital firm investing in healthcare and technology.,"Greater Boston Area, East Coast, New England",1946-01-01,day,http://www.fprimecapital.com,https://www.linkedin.com/company/f-prime-capital-partners/,264,116,46
Great Oaks Venture Capital,https://www.crunchbase.com/organization/great-oaks-venture-capital,Venture Capital,475,111,"New York, New York, United States","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",Great Oaks is an early-stage venture investment firm that invests in seed and series a investments in tech-based startups.,"Greater New York Area, East Coast, Northeastern US",2005-01-01,day,http://www.greatoaksvc.com,http://www.linkedin.com/company/3254468,347,26,6
General Atlantic,https://www.crunchbase.com/organization/general-atlantic,"Private Equity Firm, Venture Capital",473,156,"New York, New York, United States","Early Stage Venture, Late Stage Venture, Private Equity",General Atlantic is a private equity firm that provides capital and strategic support for growth companies.,"Greater New York Area, East Coast, Northeastern US",1980-04-01,day,http://www.generalatlantic.com,http://www.linkedin.com/company/general-atlantic,363,273,85
Trinity Ventures,https://www.crunchbase.com/organization/trinity-ventures,Venture Capital,471,149,"Menlo Park, California, United States","Early Stage Venture, Late Stage Venture, Seed, Venture",Trinity Ventures is an early stage venture capital firm.,"San Francisco Bay Area, Silicon Valley, West Coast",1986-01-01,year,http://www.trinityventures.com,http://www.linkedin.com/company/trinity-ventures,246,128,19
