Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Series A - alcemy,https://www.crunchbase.com/funding_round/alcemy-series-a--dc21ff40,alcemy,https://www.crunchbase.com/organization/alcemy,Series A,"Berlin, Berlin, Germany, Europe",10000000,EUR,10149605,2022-09-09,Early Stage Venture,,,,Yes,Alcemy is a cement and concrete decarbonization startup developing predictive analysis software to assist cement and concrete manufacturers.,"CleanTech, Construction, Green Building, Sustainability",,https://alcemy.tech/,$1M to $10M,22250000,EUR,23564935,,3,Galvanize Climate Solutions,11,5,"AENU, BitStone Capital, E.R. Capital Holdings, EF Education First, Entrepreneur First, Firstminute Capital, Galvanize Climate Solutions, La Famiglia, LocalGlobe, MOMENI Ventures, Tobias Nendel","616,070"
Series A - Amperecloud,https://www.crunchbase.com/funding_round/ampere-cloud-series-a--e520e697,Amperecloud,https://www.crunchbase.com/organization/ampere-cloud,Series A,"Berlin, Berlin, Germany, Europe",3300000,EUR,3572384,2024-07-30,Early Stage Venture,,,,Yes,Amperecloud is the leading Operating System for Renewables.,"Clean Energy, Energy, Energy Efficiency, Energy Management, Environmental Consulting, Hardware, Internet of Things, Renewable Energy, Software",,https://www.amperecloud.com/,$1M to $10M,10800000,EUR,11913141,Early Stage Venture,3,Encevo,3,2,"Encevo, Point Nine, Vireo Ventures","7,600"
Series A - Amperecloud,https://www.crunchbase.com/funding_round/ampere-cloud-series-a--dab0afa4,Amperecloud,https://www.crunchbase.com/organization/ampere-cloud,Series A,"Berlin, Berlin, Germany, Europe",5000000,EUR,5434487,2023-03-22,Early Stage Venture,,,,Yes,Amperecloud is the leading Operating System for Renewables.,"Clean Energy, Energy, Energy Efficiency, Energy Management, Environmental Consulting, Hardware, Internet of Things, Renewable Energy, Software",,https://www.amperecloud.com/,$1M to $10M,10800000,EUR,11913141,Early Stage Venture,3,Point Nine,6,2,"Berlin Angel Fund, Business Angels Club Berlin-Brandenburg e.V., HelloWorld, HGDF, Point Nine, Vireo Ventures","410,866"
Series A - ANYMOVE,https://www.crunchbase.com/funding_round/anymove-152b-series-a--2629bdfe,ANYMOVE,https://www.crunchbase.com/organization/anymove-152b,Series A,"Berlin, Berlin, Germany, Europe",,,,2023-02-27,Early Stage Venture,,,,Yes,Car rental app platform designed to bring down car ownership and move the full transition to e-mobility forward.,"Transportation, Travel",,https://www.anymove.app/,,,,,Early Stage Venture,3,,2,,"Lakeside Invest & Consult, Venista Ventures","383,856"
Series A - Anytype,https://www.crunchbase.com/funding_round/anytype-series-a--70b61817,Anytype,https://www.crunchbase.com/organization/anytype,Series A,"Berlin, Berlin, Germany, Europe",,,,2022-08-23,Early Stage Venture,,,,Yes,Anytype is a developer of file storage software for Web3 that is intended to provide a secure location for digital content.,"Blockchain, Operating Systems, Software",,https://anytype.io,$1B to $10B,14684858,USD,14684858,Early Stage Venture,6,,,,,"670,758"
Series A - Anytype,https://www.crunchbase.com/funding_round/anytype-series-a--a8b9655d,Anytype,https://www.crunchbase.com/organization/anytype,Series A,"Berlin, Berlin, Germany, Europe",12300000,EUR,13364858,2023-08-23,Early Stage Venture,,,,Yes,Anytype is a developer of file storage software for Web3 that is intended to provide a secure location for digital content.,"Blockchain, Operating Systems, Software",,https://anytype.io,$1B to $10B,14684858,USD,14684858,Early Stage Venture,6,Balderton Capital,14,1,"Adam Wiggins, Balderton Capital, Foreword Ventures, Inflection.xyz, Jutta Steiner, Libermans Co, Luis Cuende, Markus Ament, New Forge, Peter van Hardenberg, Protocol Labs, Script Capital, SquareOne Venture Capital, Trent McConaghy","645,391"
Series B - Architrave,https://www.crunchbase.com/funding_round/architrave-series-b--eb7de86c,Architrave,https://www.crunchbase.com/organization/architrave,Series B,"Berlin, Berlin, Germany, Europe",,,,2021-04-28,Early Stage Venture,,,,Yes,Architrave is to make the real estate industry more transparent and efficient by introducing genuinely digital processes.,"Archiving Service, Asset Management, Data Storage, Document Management, Information Services, Property Management, Real Estate, Real Estate Investment, Security, Software",,https://www.architrave.de/,$1M to $10M,2000000,EUR,2273213,Early Stage Venture,4,,,,,"505,111"
Series A - Ariceum Therapeutics,https://www.crunchbase.com/funding_round/ariceum-therapeutics-series-a--93cbef98,Ariceum Therapeutics,https://www.crunchbase.com/organization/ariceum-therapeutics,Series A,"Berlin, Berlin, Germany, Europe",22750000,EUR,24968118,2023-04-18,Early Stage Venture,,,,Yes,"Ariceum Therapeutics focuses on diagnosis and precision treatment of neuroendocrine and certain other aggressive, hard-to-treat cancers.","Biotechnology, Health Care, Medical, Therapeutics",,https://ariceum-therapeutics.com/,$1M to $10M,47750000,EUR,51760502,Early Stage Venture,2,"Andera Partners, Earlybird Venture Capital",3,3,"Andera Partners, Earlybird Venture Capital, Pureos Bioventures","35,314"
Series A - Ariceum Therapeutics,https://www.crunchbase.com/funding_round/ariceum-therapeutics-series-a--ad48a6ed,Ariceum Therapeutics,https://www.crunchbase.com/organization/ariceum-therapeutics,Series A,"Berlin, Berlin, Germany, Europe",25000000,EUR,26792384,2022-06-08,Early Stage Venture,,,,Yes,"Ariceum Therapeutics focuses on diagnosis and precision treatment of neuroendocrine and certain other aggressive, hard-to-treat cancers.","Biotechnology, Health Care, Medical, Therapeutics",,https://ariceum-therapeutics.com/,$1M to $10M,47750000,EUR,51760502,Early Stage Venture,2,"EQT Life Sciences, HealthCap",3,3,"EQT Life Sciences, HealthCap, Pureos Bioventures","549,532"
Series A - Atlas Metrics,https://www.crunchbase.com/funding_round/atlas-metrics-series-a--469ede6b,Atlas Metrics,https://www.crunchbase.com/organization/atlas-metrics,Series A,"Berlin, Berlin, Germany, Europe",12200000,EUR,13616056,2024-09-30,Early Stage Venture,,,,Yes,"Simplify ESG, Automate Compliance","Business Information Systems, Information Technology, Software, Telecommunications",,https://www.atlasmetrics.io/,$1B to $10B,17400000,EUR,19252259,Early Stage Venture,3,MMC Ventures,5,2,"another.vc, b2venture, Cherry Ventures, MMC Ventures, Redstone.VC","8,076"
Private Equity Round - Autobahn,https://www.crunchbase.com/funding_round/autobahn-private-equity--bfe1b07d,Autobahn,https://www.crunchbase.com/organization/autobahn,Private Equity,"Berlin, Berlin, Germany, Europe",300000,USD,300000,2021-01-07,Private Equity,,,,Yes,Vehicles Sales Platform (VSP) connecting the automotive industry,"Automotive, Cloud Infrastructure, Hardware, Internet of Things, SaaS, Software",,http://www.autobahn.tech,$10M to $50M,2235091,USD,2235091,Private Equity,5,,,,,"602,402"
Private Equity Round - Autodoc,https://www.crunchbase.com/funding_round/autodoc-gmbh-private-equity--9888d639,Autodoc,https://www.crunchbase.com/organization/autodoc-gmbh,Private Equity,"Berlin, Berlin, Germany, Europe",,,,2024-04-25,Private Equity,,,,Yes,Online spare original auto parts retailer ,"Automotive, E-Commerce",,https://www.autodoc.de,$100M to $500M,,,,Private Equity,1,Apollo,1,1,Apollo,"42,044"
Series A - AUTOVIO,https://www.crunchbase.com/funding_round/autovio-series-a--f4d12611,AUTOVIO,https://www.crunchbase.com/organization/autovio,Series A,"Berlin, Berlin, Germany, Europe",3800000,EUR,4104456,2024-05-29,Early Stage Venture,,,,Yes,Autovio provides a full-stack platform of software and business services for the driving education industry.,"Automotive, Consulting, Education, SaaS, Software",,https://autovio.de/,Less than $1M,8400000,EUR,9011613,Early Stage Venture,3,Sparkmind.vc,2,2,"coparion, Sparkmind.vc","41,261"
Series A - babelforce,https://www.crunchbase.com/funding_round/babelforce-series-a--be0d97d2,babelforce,https://www.crunchbase.com/organization/babelforce,Series A,"Berlin, Berlin, Germany, Europe",4000000,EUR,4204821,2022-12-07,Early Stage Venture,,,,Yes,babelforce is a global cloud communications platform focussed on no-code integration and automation.,Communications Infrastructure,,https://www.babelforce.com/,$1M to $10M,4000000,EUR,4204821,Early Stage Venture,2,"EnBW New Ventures, IBB Ventures",3,2,"EnBW New Ventures, Hannover Digital Investments, IBB Ventures","624,451"
Series A - Banxware,https://www.crunchbase.com/funding_round/banxware-series-a--f3ef9982,Banxware,https://www.crunchbase.com/organization/banxware,Series A,"Berlin, Berlin, Germany, Europe",15000000,EUR,16340243,2023-11-30,Early Stage Venture,,,,Yes,Banxware provides the technology and the funds for business financing of any kind: fully embedded in platforms or as an affiliate solution,"Banking, Financial Services, FinTech, Information Technology, Software",,https://banxware.com,$1M to $10M,29000000,EUR,32597158,Early Stage Venture,3,UniCredit,7,3,"13books Capital, D4 Ventures, Fabrick, Force Over Mass Capital, Redstone.VC, UniCredit, VR Ventures","81,487"
Private Equity Round - BaxBeauty,https://www.crunchbase.com/funding_round/baxbeauty-private-equity--a2ae6d6e,BaxBeauty,https://www.crunchbase.com/organization/baxbeauty,Private Equity,"Berlin, Berlin, Germany, Europe",,,,2020-04-03,Private Equity,,,,Yes,BaxBeauty is a social media platform that focuses on the art of style and beauty.,"Apps, Beauty, Fashion, Social Media",,http://baxbeauty.com/,,,,,Private Equity,1,,,,,"121,654"
Series A - Bayes Esports Solutions,https://www.crunchbase.com/funding_round/bayes-esports-solutions-gmbh-series-a--d3909418,Bayes Esports Solutions,https://www.crunchbase.com/organization/bayes-esports-solutions-gmbh,Series A,"Berlin, Berlin, Germany, Europe",,,,2023-02-06,Early Stage Venture,,,,Yes,Bayes Esports provides official live esports data to clients through partnerships.,Management Consulting,,https://bayes.gg,$1M to $10M,6000000,EUR,6263368,Early Stage Venture,2,P.A.C. Capital,1,1,P.A.C. Capital,"34,594"
Series B - Beets&Roots,https://www.crunchbase.com/funding_round/beets-roots-series-b--585daa8e,Beets&Roots,https://www.crunchbase.com/organization/beets-roots,Series B,"Berlin, Berlin, Germany, Europe",500000,EUR,543719,2024-02-01,Early Stage Venture,,,,Yes,Beets & Roots is a new fast casual restaurant in the heart of Berlin-Mitte,"Food and Beverage, Hospitality",,http://www.beetsandroots.de,$10M to $50M,500000,EUR,543719,Early Stage Venture,1,,1,,Skybrain GmbH,"71,094"
Private Equity Round - Berlin Brands Group,https://www.crunchbase.com/funding_round/berlin-brands-group-private-equity--23ff0f03,Berlin Brands Group,https://www.crunchbase.com/organization/berlin-brands-group,Private Equity,"Berlin, Berlin, Germany, Europe",700000000,USD,700000000,2021-09-01,Private Equity,,,,Yes,"Berlin Brands Group is a vertical commerce company that offers sound and light, home and living, and consumer electronic products.","Consumer Electronics, E-Commerce, Retail",,https://www.berlin-brands-group.com/,$100M to $500M,1040000000,USD,1040000000,Private Equity,3,Bain Capital,1,,Bain Capital,"91,938"
Private Equity Round - Berlin Brands Group,https://www.crunchbase.com/funding_round/berlin-brands-group-private-equity--8666a670,Berlin Brands Group,https://www.crunchbase.com/organization/berlin-brands-group,Private Equity,"Berlin, Berlin, Germany, Europe",100000000,USD,100000000,2021-11-17,Private Equity,,,,Yes,"Berlin Brands Group is a vertical commerce company that offers sound and light, home and living, and consumer electronic products.","Consumer Electronics, E-Commerce, Retail",,https://www.berlin-brands-group.com/,$100M to $500M,1040000000,USD,1040000000,Private Equity,3,Ardian,1,,Ardian,"624,581"
Series A - Betriebsarzt Service,https://www.crunchbase.com/funding_round/betriebsarzt-service-series-a--800b56bb,Betriebsarzt Service,https://www.crunchbase.com/organization/betriebsarzt-service,Series A,"Berlin, Berlin, Germany, Europe",6800000,EUR,7011466,2022-11-22,Early Stage Venture,,,,Yes,Betriebsarzt Service is an occupational health and safety service for fast-scaling and established businesses.,Health Care,,https://www.betriebsarztservice.de/,,6800000,EUR,7011466,Early Stage Venture,1,,2,1,"Heartbeat Labs, Impact Partners","13,401"
Series C - Billie,https://www.crunchbase.com/funding_round/billie-io-series-c--f5522695,Billie,https://www.crunchbase.com/organization/billie-io,Series C,"Berlin, Berlin, Germany, Europe",86200000,EUR,100073836,2021-10-25,Late Stage Venture,465300000,EUR,540189746,Yes,"Billie is a fintech startup that provides Buy Now, Pay Later payment methods for the B2B market.","E-Commerce, Finance, Financial Services, FinTech, Small and Medium Businesses",,https://www.billie.io,$50M to $100M,349172542,USD,349172542,Late Stage Venture,5,Dawn Capital,10,5,"Creandum, Dawn Capital, Global Founders Capital, GR Capital, Klarna, Picus Capital, Rocket Internet, Speedinvest, Tencent, UNIQA Ventures","66,443"
Private Equity Round - BioMedion,https://www.crunchbase.com/funding_round/biomedion-private-equity--d5ddcff2,BioMedion,https://www.crunchbase.com/organization/biomedion,Private Equity,"Berlin, Berlin, Germany, Europe",,,,2022-02-08,Private Equity,,,,Yes,"BioMedion is a Compliance Management Software company for the highly regulated life science industry, medicines agencies.","Compliance, Database, Life Science, Service Industry, Software",,http://www.biomedion.com,$1M to $10M,,,,Private Equity,1,Main Capital Partners,1,1,Main Capital Partners,"174,477"
Series G - Blacklane,https://www.crunchbase.com/funding_round/blacklane-series-g--b04b646a,Blacklane,https://www.crunchbase.com/organization/blacklane,Series G,"Berlin, Berlin, Germany, Europe",60000000,EUR,64866899,2024-10-29,Late Stage Venture,,,,Yes,Blacklane is a professional chauffeur service that connects users to drivers through their mobile app.,"Apps, Hospitality, Mobile Apps, Professional Services, Tourism, Transportation, Travel",,http://www.blacklane.com,$1M to $10M,203447599,USD,203447599,Late Stage Venture,12,TASARU Mobility Investments,6,3,"Al Fahim Group, ALSTIN Family GmbH, Gargash Group, Mercedes-Benz Mobility, RI Digital Ventures, TASARU Mobility Investments","4,225"
Series F - Blacklane,https://www.crunchbase.com/funding_round/blacklane-series-f--0cad87c4,Blacklane,https://www.crunchbase.com/organization/blacklane,Series F,"Berlin, Berlin, Germany, Europe",33900000,EUR,35612985,2023-09-27,Late Stage Venture,,,,Yes,Blacklane is a professional chauffeur service that connects users to drivers through their mobile app.,"Apps, Hospitality, Mobile Apps, Professional Services, Tourism, Transportation, Travel",,http://www.blacklane.com,$1M to $10M,203447599,USD,203447599,Late Stage Venture,12,Sixt Rental Cars,1,,Sixt Rental Cars,"264,533"
Series F - Blacklane,https://www.crunchbase.com/funding_round/blacklane-series-f--a340a1e0,Blacklane,https://www.crunchbase.com/organization/blacklane,Series F,"Berlin, Berlin, Germany, Europe",,,,2022-12-21,Late Stage Venture,,,,Yes,Blacklane is a professional chauffeur service that connects users to drivers through their mobile app.,"Apps, Hospitality, Mobile Apps, Professional Services, Tourism, Transportation, Travel",,http://www.blacklane.com,$1M to $10M,203447599,USD,203447599,Late Stage Venture,12,,2,,"Gargash Group, Mercedes-Benz Mobility","388,161"
Series A - Bling.de,https://www.crunchbase.com/funding_round/bling-services-gmbh-series-a--222907dd,Bling.de,https://www.crunchbase.com/organization/bling-services-gmbh,Series A,"Berlin, Berlin, Germany, Europe",11200000,EUR,11988983,2024-06-27,Early Stage Venture,,,,Yes,"Among Germany's fastest growing fintechs, Bling is reinventing Retail-Banking for families.","EdTech, Financial Services, FinTech",,https://bling.de,,14700000,EUR,15678810,Early Stage Venture,3,Owl Ventures,5,4,"Angel Invest, Commerzbank, Neosfer, Owl Ventures, Peak","8,423"
Series A - Bliq,https://www.crunchbase.com/funding_round/bliq-series-a--a50fd516,Bliq,https://www.crunchbase.com/organization/bliq,Series A,"Berlin, Berlin, Germany, Europe",5000000,USD,5000000,2022-11-01,Early Stage Venture,,,,Yes,Bliq empowers gig workers in the transport industry to manage their workflow across multiple platform jobs.,"Delivery Service, Information Technology, Same Day Delivery, Sharing Economy, Transportation",,https://bliq.ai/,$10M to $50M,22151981,USD,22151981,Early Stage Venture,4,New Enterprise Associates,2,2,"New Enterprise Associates, Speedinvest","17,109"
Series A - Bliq,https://www.crunchbase.com/funding_round/bliq-series-a--d0460236,Bliq,https://www.crunchbase.com/organization/bliq,Series A,"Berlin, Berlin, Germany, Europe",13500000,USD,13500000,2022-05-11,Early Stage Venture,,,,Yes,Bliq empowers gig workers in the transport industry to manage their workflow across multiple platform jobs.,"Delivery Service, Information Technology, Same Day Delivery, Sharing Economy, Transportation",,https://bliq.ai/,$10M to $50M,22151981,USD,22151981,Early Stage Venture,4,New Enterprise Associates,5,1,"Andreas Kupke, New Enterprise Associates, Proeza Ventures, Revel Partners, Speedinvest","315,552"
Series A - Bluu Seafood,https://www.crunchbase.com/funding_round/bluu-bioscience-series-a--13eb366f,Bluu Seafood,https://www.crunchbase.com/organization/bluu-bioscience,Series A,"Berlin, Berlin, Germany, Europe",16000000,EUR,17464408,2023-06-28,Early Stage Venture,,,,Yes,Bluu Seafood Provides Sea Food Manufacturing Services.,"Food and Beverage, Food Processing, Manufacturing, Service Industry, Supply Chain Management",,https://bluu.bio/,$1M to $10M,23100000,EUR,25825710,Early Stage Venture,3,"LBBW VC, Sparkfood",9,,"Delivery Hero Ventures, Dr.Oetker, Innovationsstarter Fonds, Investitions- und Förderbank, LBBW VC, Manta Ray Ventures, Norrsken VC, SeaX Ventures, Sparkfood","63,810"
Series D - bookingkit,https://www.crunchbase.com/funding_round/bookingkit-series-d--3e3bf5e1,bookingkit,https://www.crunchbase.com/organization/bookingkit,Series D,"Berlin, Berlin, Germany, Europe",5000000,EUR,5883447,2020-09-08,Late Stage Venture,,,,Yes,"bookingkit offers booking software for tours, activities, and attractions.","Marketing, Reservations, Software, Tourism, Travel",,https://bookingkit.net,$1M to $10M,5000000,EUR,5883447,,6,,4,,"HTGF | High-Tech Gruenderfonds, Intermedia Venture, Müller Medien, Robert André Kabs","614,086"
Series A - brighter AI,https://www.crunchbase.com/funding_round/brighter-ai-technologies-series-a--ec9ef6e8,brighter AI,https://www.crunchbase.com/organization/brighter-ai-technologies,Series A,"Berlin, Berlin, Germany, Europe",,,,2022-06-30,Early Stage Venture,,,,Yes,Protect every identity in public.,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Privacy",,https://www.brighter.ai/?crunchbase=yes,,650000,EUR,780063,,6,Armilar Venture Partners,3,3,"Armilar Venture Partners, eCAPITAL ENTREPRENEURIAL PARTNERS, Giesecke+Devrient Ventures","286,468"
Series B - BRYTER,https://www.crunchbase.com/funding_round/bryter-series-b--5efa2dc0,BRYTER,https://www.crunchbase.com/organization/bryter,Series B,"Berlin, Berlin, Germany, Europe",66000000,USD,66000000,2021-04-07,Early Stage Venture,344000000,USD,344000000,Yes,BRYTER is a no-code software platform that automates and helps its users develop and build digital applications.,"Compliance, Enterprise Software, Industrial Automation, Legal Tech, SaaS, Software",,https://bryter.com,$10M to $50M,89000000,USD,89000000,Early Stage Venture,4,Tiger Global Management,5,2,"Accel, Cavalry Ventures, Dawn Capital, Notion Capital, Tiger Global Management","175,768"
