Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
002786,KidsCircle.io,Angel,,2022-03-01,,5.0,"['Carole Ackermann', 'Headbits', 'Isabel Carbotta', 'Nicole Herzog', 'Phyllis Studerus']",000000
002787,KILT Protocol,Venture - Series Unknown,,2022-01-01,,1.0,"[""Czhang's Digital Investment""]",000698
002788,Klang Games,Series C,41000000.0,2022-07-06,"Animoca Brands, Kingsway Capital",7.0,"['AngelHub', 'Animoca Brands', 'Kingsway Capital', 'New Life Ventures', 'Novator', 'Roosh Ventures', 'Supercell']",000000
002789,Klim,Seed,6500000.0,2022-09-08,Green Generation Fund,7.0,"['AgFunder', 'Ananda Impact Ventures', 'Edaphon', 'FoodLabs', 'Green Generation Fund', 'kopa ventures', 'Ponderosa Ventures']",000000
002790,Klima,Series A,10000000.0,2022-04-21,Keen Venture Partners,5.0,"['468 Capital', 'Adjacent', 'Headline', 'HV Capital', 'Keen Venture Partners']",000703
002791,Kodex AI,Pre-Seed,120000.0,2022-04-04,Techstars,1.0,['Techstars'],000000
002792,Kombo,Seed,7800000.0,2022-11-15,468 Capital,10.0,"['468 Capital', 'Acadian Ventures', 'Carsten Thoma', 'Christoph Deckert', 'Jean-Denis Greze', 'Paul Forster', 'Robin Haak', 'Tido Carriero', 'Viet Le', 'Y Combinator']",000000
002793,Kombuchery,Seed,,2022-01-26,,1.0,['Joyance Partners'],000705
002794,Konvi,Pre-Seed,900000.0,2022-03-09,,7.0,"['Amir Nooriala', 'APX', 'Christoph Röttele', 'Claire Valoti', 'Didier Valet', 'DVC', 'T0 Ventures']",000000
002795,KoRo,Series B,50000000.0,2022-03-16,HV Capital,4.0,"['Five Seasons Ventures', 'HV Capital', 'Mario Götze', 'Partech']",000000
002796,kunsttell,Pre-Seed,16000.0,2022-08-01,,,[''],000000
002797,Kurabu,Seed,1550000.0,2022-12-07,,2.0,"['Brandenburg Kapital', 'Julius Göllner']",000000
002798,kurando,Convertible Note,,2022-04-20,,1.0,['Plug and Play'],000000
002799,l1r1,Pre-Seed,1300000.0,2022-10-30,,3.0,"['Andreas Burike', 'SI Ventures', 'Torben Schreiter']",000000
002800,LabDAO,Pre-Seed,,2022-05-31,,1.0,['Orange DAO'],000000
002801,LABELS,Pre-Seed,365000.0,2022-05-01,,,[''],000000
002802,Labfly,Venture - Series Unknown,,2022-01-01,,1.0,['Artesian VC'],000716
002803,Lano,Venture - Series Unknown,15000000.0,2022-02-15,Atlantic Labs,2.0,"['Atlantic Labs', 'Seed X Liechtenstein']",000719
002804,Laori Drinks,Angel,,2022-06-03,,1.0,['Tijen Onaran'],000720
002805,Latana Brand Tracking,Series B,36000000.0,2022-09-08,Oxx,3.0,"['Balderton Capital', 'Kreos Capital', 'Oxx']",000000
002806,Leapsome,Series A,60000000.0,2022-03-24,Insight Partners,3.0,"['Creandum', 'Insight Partners', 'Visionaries Club']",000724
002807,LegalAI,Convertible Note,,2022-08-23,,1.0,['daFUND'],000000
002808,Legendary Play,Series A,4000000.0,2022-04-07,"BITKRAFT Ventures, Modern Times Group",4.0,"['1Up Ventures', 'BITKRAFT Ventures', 'Level-Up', 'Modern Times Group']",000725
002809,Lemmo,Angel,,2022-11-28,Cyanhill Capital,1.0,['Cyanhill Capital'],000000
002810,lemon.markets,Seed,15000000.0,2022-04-04,"Lakestar, Lightspeed Venture Partners",4.0,"['Creandum', 'Lakestar', 'Lightspeed Venture Partners', 'System.One']",000000
002811,Lendis,Series A,30000000.0,2022-01-21,"Circularity Capital, Keen Venture Partners",8.0,"['Circularity Capital', 'coparion', 'DN Capital', 'HGDF', 'HV Capital', 'Keen Venture Partners', 'KPN Ventures', 'Picus Capital']",000727
002812,Let's Flow,Seed,,2022-11-24,,2.0,"['Brandlift', 'Nanz medico']",000000
002813,LEVY Health,Pre-Seed,2500000.0,2022-03-30,Atlantic Labs,5.0,"['Atlantic Labs', 'Calm/Storm Ventures', 'Jenny Saft', 'Johann ""Hansi"" Hansmann', 'Lea von Bidder']",000000
002814,LI.FI,Venture - Series Unknown,5500000.0,2022-07-11,1kx,21.0,"['1kx', '6th Man Ventures', 'Ahmed Al-Balaghi', 'AngelDAO', 'Anthony Sassano', 'Baires DAO', 'Bankless', 'Coinbase', 'Darren Lau', 'Dragonfly', 'Igor Igamberdiev', 'Jason Choi', 'Lattice Capital', 'Mask Network', 'Pranay Mohan', 'Rahul Sethuram', 'RockTree Capital', 'Ryan Sean Adams', 'Scalar Capital', 'SMAPE Capital', 'Triblock']",000000
002815,license.rocks,Seed,1000000.0,2022-01-04,The Customization Group,1.0,['The Customization Group'],000730
002816,Liefergrün,Series A,12000000.0,2022-09-02,eCAPITAL ENTREPRENEURIAL PARTNERS,3.0,"['eCAPITAL ENTREPRENEURIAL PARTNERS', 'Norrsken VC', 'Speedinvest']",000000
002817,Liefergrün,Seed,3000000.0,2022-02-17,Speedinvest,2.0,"['Norrsken VC', 'Speedinvest']",000000
002818,LifeTap,Pre-Seed,120000.0,2022-04-05,Techstars,1.0,['Techstars'],000000
002819,LifeTap,Pre-Seed,100000.0,2022-03-10,,,[''],000000
002820,LiveEO,Series A,19000000.0,2022-08-05,MMC Ventures,9.0,"['DvH Ventures', 'European Commission', 'Hannover Digital Investments', 'Helen Ventures', 'Investitionsbank Berlin', 'Matterwave Ventures', 'MMC Ventures', 'Motu Ventures', 'Segenia Capital']",000738
002821,Looks,Pre-Seed,,2022-06-01,Merantix Capital,1.0,['Merantix Capital'],000000
002822,Lost Club Toys (Studio 2033),Pre-Seed,100000.0,2022-11-10,,1.0,['Brinc'],000000
002823,Lottie,Seed,,2022-01-09,,4.0,"['Alexander Ljung', 'BlueYard Capital', 'Florian Meissner', 'Rubin Ritter']",000000
002824,Lovely Day Foods,Pre-Seed,1100000.0,2022-03-10,,12.0,"['Albert Schmidbauer', 'Deepali Nangia', 'Eric Quidenus-Wahlforss', 'Foodspring', 'JustSpices', 'Jörg Kattner', 'Kağan Sümer', 'Lea-Sophie Cramer', 'Mymuesli', 'Ronny Shibley', 'Urania Ventures', 'Verena Pausder']",000741
002825,Lucanet,Venture - Series Unknown,,2022-06-16,Hg,1.0,['Hg'],000000
002826,LucidWrite,Pre-Seed,110000.0,2022-03-01,,1.0,['Federal Ministry for Economic Affairs and Energy (BMWi)'],000000
002827,Lumaly,Convertible Note,1100000.0,2022-04-30,DFF Ventures,5.0,"['DFF Ventures', 'German Media Pool', 'Oskar Hartmann', 'TA Ventures', 'Tekton Ventures']",000000
002828,Lumiform,Series A,6400000.0,2022-06-01,Capnamic Ventures,13.0,"['42CAP', 'Capnamic Ventures', 'Christian Henschel', 'Christoph Gerber', 'Christophe Folschette', 'EquityPitcher Ventures', 'EXXETA', 'Jan Hendrik Ansink', 'Kai Hansen', 'Paul Müller', 'Stefan Tietze', 'Thibaut Britz', 'WestTech Ventures']",000743
002829,Lykon,Venture - Series Unknown,10000000.0,2022-09-07,,3.0,"['Ippen Media', 'MA Ventures', 'Zintinus']",000745
002830,Magaloop,Seed,9000000.0,2022-05-12,"FoodLabs, Market One Capital",7.0,"['Bitburger Ventures', 'Convivialite Ventures', 'FoodLabs', 'Fuse Venture Partners', 'HESTA', 'Market One Capital', 'redalpine']",000748
002831,MagForce NT GmbH,Post-IPO Debt,3500000.0,2022-06-25,Lansdowne Investment Company Cyprus,1.0,['Lansdowne Investment Company Cyprus'],000000
002832,marta,Seed,6600000.0,2022-08-23,"Almaz Capital, Capnamic Ventures",11.0,"['Almaz Capital', 'Capnamic Ventures', 'Christian Vollmann', 'GMP Capital', 'Ithaca Investments', 'Johannes Schaback', 'Julian Stiefel', 'Laura Esnola', 'Steffen Zoller', 'SumUp Impact Fund', 'Verve Ventures']",000000
002833,Matter Labs,Series C,200000000.0,2022-11-16,"Blockchain Capital, Dragonfly",6.0,"['1kx', 'Andreessen Horowitz', 'Blockchain Capital', 'Dragonfly', 'Lightspeed Venture Partners', 'Variant']",000000
002834,Mavuno,Angel,500000.0,2022-09-01,,,[''],000000
002835,Mavuno,Convertible Note,200000.0,2022-02-23,Techstars,1.0,['Techstars'],000000
002836,Maya Climate,Pre-Seed,170000.0,2022-09-30,Antler,1.0,['Antler'],000000
002837,MAYD Group,Series A,30000000.0,2022-01-27,Lightspeed Venture Partners,5.0,"['468 Capital', 'Earlybird Venture Capital', 'Flixfounders', 'Lightspeed Venture Partners', 'Target Global']",000000
002838,McMakler,Venture - Series Unknown,,2022-12-05,Blackshield Capital,1.0,['Blackshield Capital'],000758
002839,McMakler,Venture - Series Unknown,50000000.0,2022-01-10,,3.0,"['Baillie Gifford', 'Cavalry Ventures', 'Warburg Pincus']",000758
002840,Meisterwerk,Seed,2000000.0,2022-05-02,Marcus Krüger,6.0,"['Innovation Nest', 'Marcus Krüger', 'seed + speed Ventures', 'Signals Venture Capital', 'Speedinvest', 'Wecken & Cie.']",000768
002841,Mercanis,Convertible Note,,2022-04-01,,1.0,['Plug and Play'],000000
002842,metacards,Pre-Seed,700000.0,2022-03-15,PREA Group,1.0,['PREA Group'],000000
002843,Micropsi Industries,Series B,30000000.0,2022-02-08,"Ahren Innovation Capital, Metaplanet, Vsquared Ventures",6.0,"['Ahren Innovation Capital', 'Converge', 'M Ventures', 'Metaplanet', 'Project A Ventures', 'Vsquared Ventures']",000000
002844,Mietz,Pre-Seed,1000000.0,2022-09-22,,6.0,"['Christine Kiefer', 'Edward Lando', 'Jon Oringer', 'Mario Götze', 'Nadav Ben-Chanoch', 'Pareto Holdings']",000000
002845,Mietz,Pre-Seed,,2022-04-05,,1.0,['NCA'],000000
002846,Mijasi,Angel,50000.0,2022-05-17,,1.0,['Nils Glagau'],000781
002847,Mika,Series A,10000000.0,2022-05-09,Debiopharm Innovation Fund,4.0,"['Ananda Impact Ventures', 'Debiopharm Innovation Fund', 'EquityPitcher Ventures', 'Ship2B']",000782
002848,Mila,Seed,2000000.0,2022-06-07,Born2Grow,3.0,"['Alpana Ventures', 'Born2Grow', 'Oriza Ventures']",000000
002849,Milano Vice,Seed,5900000.0,2022-07-12,Coefficient Capital,11.0,"['Bonial.com', 'CG Partners', 'Christian Gaiser', 'Coefficient Capital', 'David Brunier', 'Julius Wiesenhuetter', 'Nicolaus Schefenacker', 'Ole Strohschnieder', 'Shio Capital', 'Speedinvest', 'Timo Meyer']",000000
002850,MILES,Venture - Series Unknown,,2022-01-13,,2.0,"['Crosslantic Capital', 'Lukasz Gadowski']",000783
002851,"Mintbase, Inc.",Grant,5000000.0,2022-04-19,NEAR Foundation,1.0,['NEAR Foundation'],000786
002852,"Mintbase, Inc.",Seed,,2022-02-25,,1.0,['Ceras Ventures'],000786
002853,"Mintbase, Inc.",Series A,7500000.0,2022-04-19,Woodstock Fund,10.0,"['Animoca Brands', 'Bixin Ventures', 'Ceras Ventures', 'Coinbase Ventures', 'Figment Capital', 'Fundamental Labs', 'Libertus Capital', 'Sino Capital Group', 'TRGC', 'Woodstock Fund']",000786
002854,Mirantus Health,Pre-Seed,,2022-11-30,,9.0,"['Ariel Dora Stern', 'Entrepreneur First', 'Fabian Hoehne', 'Katharina Juenger', 'Michael Hinderer', 'Philipp Kadelbach', 'Revent', 'Springboard Health Angels', 'Yoni Goldwasser']",000000
002855,ModelMe,Pre-Seed,,2022-01-30,,2.0,"['Entrepreneur First', 'Id4 ventures']",000000
002856,Mondarella,Seed,3000000.0,2022-10-15,Sparkfood,1.0,['Sparkfood'],000000
002857,Mondu,Series A,39980000.0,2022-05-30,Valar Ventures,3.0,"['Cherry Ventures', 'FinTech Collective', 'Valar Ventures']",000000
002858,Monite,Seed,4500000.0,2022-02-22,Point72 Ventures,7.0,"['365.fintech', 'Adriaan Mol', 'Jason Pate', 'Jonathan Weiner', 'Point72 Ventures', 'Ralph Muller', 'Victor Jacobsson']",000000
002859,Moojo,Pre-Seed,2000000.0,2022-04-22,,6.0,"['APX', 'b2venture', 'Helvetia Venture Fund', 'MS&AD Ventures', 'neoteq ventures', 'Red Swan Ventures']",000000
002860,Moonfare,Series C,35000000.0,2022-03-29,Vitruvian Partners,1.0,['Vitruvian Partners'],000794
002861,Moot,Pre-Seed,,2022-07-19,,1.0,['Boer Group'],000000
002862,Moss,Series B,75000000.0,2022-01-19,Tiger Global Management,5.0,"['A-Star', 'Cherry Ventures', 'Global Founders Capital', 'Tiger Global Management', 'Valar Ventures']",000795
002863,muffintech,Pre-Seed,120000.0,2022-08-25,Techstars,1.0,['Techstars'],000000
002864,MVP Match,Seed,5000000.0,2022-09-15,Stage 2 Capital,1.0,['Stage 2 Capital'],000000
002865,MXC,Pre-Seed,,2022-08-15,,1.0,['DWF Labs'],000000
002866,Myelo Therapeutics,Grant,17000000.0,2022-08-04,European Commission,1.0,['European Commission'],000000
002867,MYNE Homes,Seed,23500000.0,2022-07-08,,15.0,"['Alexander Artope', 'Christian Gaiser', 'Embedded Capital', 'Hakan Koc', 'Moritz Thiele', 'Motive Ventures', 'Nils Regge', 'Philipp Schrempp', 'Ramin Niroumand', 'Rivus Capital', 'Scope Hanson', 'Stefan Wiskemann', 'The Fintech Fund', 'Tim Marbach', 'TruVenturo']",000000
002868,MYNE Homes,Seed,,2022-02-01,,1.0,['Loric Ventures'],000000
002869,MySecondEar,Seed,,2022-05-01,Nina Capital,1.0,['Nina Capital'],000000
002870,n8n,Convertible Note,1500000.0,2022-11-18,Harpoon,1.0,['Harpoon'],000806
002871,NAVIT,Pre-Seed,,2022-05-24,,5.0,"['Christoph Bornschein', 'Forward31', 'Javier Suarez', 'Johannes Reck', 'Lufthansa Innovation Hub']",000000
002872,Nefta,Seed,1000000.0,2022-06-13,Picus Capital,1.0,['Picus Capital'],000000
002873,Neggst,Seed,5000000.0,2022-09-13,Green Generation Fund,7.0,"['BayWa', 'BayWa Venture', 'Corecam Capital Partners', 'Green Generation Fund', 'Martin Weber', 'RWZ', 'Stephan Hentschel']",000000
002874,Nelly,Convertible Note,,2022-12-01,,,[''],000000
002875,Nelly,Seed,4000000.0,2022-04-28,"b2venture, Global Founders Capital",7.0,"['b2venture', 'Calm/Storm Ventures', 'Diana zur Löwen', 'Gaingels', 'Global Founders Capital', 'Motive Ventures', 'Verena Pausder']",000000
002876,NeoCarbon,Pre-Seed,1250000.0,2022-09-14,"PT1, Speedinvest",7.0,"['Anna Alex', 'Antler', 'Matthias Ernst', 'PT1', 'Speedinvest', 'Stefano Bernardi', 'Unruly Capital']",000000
002877,NeoCarbon,Pre-Seed,100000.0,2022-04-08,,1.0,['Antler'],000000
002878,NetBird,Pre-Seed,100000.0,2022-04-07,Antler,1.0,['Antler'],000000
002879,Next Matter,Series A,16000000.0,2022-06-14,OMERS Ventures,7.0,"['BlueYard Capital', 'Charles Songhurst', 'Crane Venture Partners', 'Frank Freund', 'Marius Luther', 'OMERS Ventures', 'Tamaz Georgadze']",000813
002880,nilo.health,Seed,7490000.0,2022-05-23,Speedinvest,8.0,"['Atlantic Labs', 'Hanno Renner', 'Jonas Rieke', 'Michael Wax', 'Oliver Manojlovic', 'PROfounders Capital', 'Speedinvest', 'Vorwerk Ventures']",000815
002881,Ninetailed,Seed,5000000.0,2022-10-26,"Cherry Ventures, Mosaic Ventures",7.0,"['Carsten Thoma', 'Cherry Ventures', 'Chris Schagen', 'First Momentum Ventures', 'Jason Cottrell', 'Mirko Novakovic', 'Mosaic Ventures']",000000
002882,Ninetailed,Pre-Seed,800000.0,2022-05-25,,1.0,['Chris Schagen'],000000
002883,Ninox,Venture - Series Unknown,8000000.0,2022-04-27,"Hi Inov - Dentressangle, VI Partners",5.0,"['b2venture', 'Hi Inov - Dentressangle', 'IBB Ventures', 'Matterwave Ventures', 'VI Partners']",000000
002884,Nomitri,Seed,2500000.0,2022-03-02,FoodLabs,1.0,['FoodLabs'],000817
002885,Nostos Genomics,Seed,5000000.0,2022-02-03,,6.0,"['42CAP', 'Amino Collective', 'Entrepreneur First', 'Faber', 'Frontline Ventures', 'WENVEST Capital']",000818
002886,not less but better,Angel,,2022-03-09,,3.0,"['Christian Rebernik', 'Frank Westermann', 'Sebastian Klenk']",000000
002887,Nous,Seed,,2022-04-04,,,[''],000000
002888,NOVO,Convertible Note,170000.0,2022-09-29,Antler,1.0,['Antler'],000000
002889,Novo,Pre-Seed,100000.0,2022-07-20,,1.0,['Antler'],000000
002890,NRverse,Grant,,2022-10-07,Celo Camp,1.0,['Celo Camp'],000000
002891,NRverse,Pre-Seed,,2022-02-01,,1.0,['Blockchain Founders Group'],000000
002892,Numa,Venture - Series Unknown,39440000.0,2022-02-07,"DN Capital, Headline",7.0,"['Cherry Ventures', 'DN Capital', 'Headline', 'Kreos Capital', 'Scope Hanson', 'Soravia', 'TruVenturo']",000821
002893,Nuventura,Grant,2480188.0,2022-03-23,European Innovation Council,1.0,['European Innovation Council'],000823
002894,Nuventura,Seed,,2022-04-12,ADB Ventures,2.0,"['ADB Ventures', 'European Innovation Council']",000823
002895,nuwo,Pre-Seed,,2022-04-01,,2.0,"['Katharina Juenger', 'Polymath Digital']",000000
002896,Omio,Series E,80000000.0,2022-06-20,,5.0,"['Goldman Sachs Asset Management', 'Lazard Asset Management', 'New Enterprise Associates', 'Stack Capital', 'Temasek Holdings']",000000
002897,omni:us,Series A,12000000.0,2022-11-15,,1.0,['WGV Insurance'],000832
002898,OneFootball,Series D,300000000.0,2022-04-26,Liberty City Ventures,9.0,"['Alsara', 'Animoca Brands', 'DAH Beteiligungs GmbH', 'Dapper Labs', 'Earlybird Venture Capital', 'Liberty City Ventures', 'Quiet Capital', 'RIT Capital Partners', 'Senator Investment Group']",000000
002899,Onepage,Pre-Seed,,2022-07-22,,1.0,['JALE Beteiligungs GmbH'],000834
002900,ONO,Series A,6000000.0,2022-12-06,,3.0,"['European Innovation Council', 'Proeza Ventures', 'Zu na mi']",000835
002901,Optimo,Pre-Seed,120000.0,2022-04-04,Techstars,1.0,['Techstars'],000000
002902,Opto,Seed,5000000.0,2022-07-06,,1.0,['Auxxo'],000000
002903,OrelTech,Series A,,2022-10-17,,,[''],000841
002904,Ostrom,Series A,10000000.0,2022-12-07,"Adjacent, Union Square Ventures",4.0,"['Adjacent', 'J12', 'Union Square Ventures', 'Übermorgen Ventures']",000000
002905,Ostrom,Seed,4800000.0,2022-01-10,468 Capital,3.0,"['468 Capital', 'J12', 'Übermorgen Ventures']",000000
002906,Otterspace,Pre-Seed,3700000.0,2022-06-13,"Cherry Ventures, Inflection.xyz",35.0,"['Abigael Titcomb', 'Atka Capital', 'b2venture', 'Bessemer Venture Partners', 'Chen Magen', 'Cherry Ventures', 'Coinbase', 'Concept Ventures', 'DAO Jones', 'David Choi', 'Eylon Aviv', 'Fredrik Haga', 'Inflection.xyz', 'Jennifer Phan', 'Jesse Grushack', 'Konstantin Lomashuk', 'Kristin Chen', 'Kunal B.', 'Mario Götze', 'Markus Ament', 'Mats Olsen', 'Nima Capital', 'NXGEN', 'Oliver Kicks', 'Peter Grosskopf', 'Philip Stehlik', 'Sandeep Nailwal', 'Sarah Drinkwater', 'Scott Fitsimones', 'Sillytuna', 'SquareOne Venture Capital', 'Tine Nitsch', 'Venkat Kondragunta', 'Vishesh Choudhry', 'Will Papper']",000000
002907,PaketConcierge,Pre-Seed,,2022-02-16,,1.0,['XPRESS Ventures'],000000
002908,Palmo,Pre-Seed,,2022-08-10,2bX,1.0,['2bX'],000000
002909,ParcelBox Platform,Pre-Seed,,2022-02-01,,1.0,['MECHIK GmbH'],000000
002910,Parloa,Seed,4000000.0,2022-05-12,,5.0,"['Erik Muttersbach', 'Michael Wax', 'Newion', 'Nicolas Peters', 'Senovo']",000848
002911,PatentPlus,Seed,,2022-05-31,Techstars,2.0,"['Ed Roberts', 'Techstars']",000000
002912,Patronus Group,Series A,27000000.0,2022-10-05,"Adjacent, Singular",5.0,"['Adjacent', 'Burda Principal Investments', 'Cavalry Ventures', 'Singular', 'UVC Partners']",000000
002913,Patronus Group,Seed,7000000.0,2022-05-25,Cavalry Ventures,8.0,"['Cavalry Ventures', 'Christopher Muhr', 'DN Capital', 'Emanuel Pallua', 'Hanno Heintzenberg', 'Johannes Roggendorf', 'Lukas Pieczonka', 'UVC Partners']",000000
002914,Payrails,Seed,6400000.0,2022-03-17,Andreessen Horowitz,5.0,"['Andreessen Horowitz', 'Dominik Richter', 'Flixfounders', 'HV Capital', 'Thomassin Emmanuel']",000000
002915,Peak Power,Pre-Seed,170000.0,2022-04-07,Antler,1.0,['Antler'],000854
002916,PenPal,Pre-Seed,150000.0,2022-09-01,,,[''],000000
002917,Phase,Venture - Series Unknown,,2022-04-06,,1.0,['500 Global'],000866
002918,Physikit,Pre-Seed,170000.0,2022-04-07,Antler,1.0,['Antler'],000000
002919,Pile,Pre-Seed,2800000.0,2022-06-14,"Anthemis, Barclays Corporate Banking",13.0,"['Angel Invest', 'Anthemis', 'Barclays Corporate Banking', 'Carolin Gabor', 'Christian Reber', 'Gloria Baeuerlein', 'Holvi', 'Jenny Dreier', 'Mario Götze', 'Markus Ament', 'Maximilian Tayenthal', 'Niklas Jansen', 'w3.fund']",000000
002920,Pillio,Pre-Seed,100000.0,2022-03-31,Antler,1.0,['Antler'],000000
002921,Planet A Ventures,Seed,,2022-01-01,,1.0,['NxGen.xyz'],000000
002922,Pnkfrg Studios,Seed,3000000.0,2022-05-16,"Initial Capital, LVP",6.0,"['Fulgur Ventures', 'Initial Capital', 'Lightning Ventures', 'LVP', 'StillMark', 'Velo Partners']",000000
002923,Pollinations,Pre-Seed,100000.0,2022-04-27,,1.0,['Outlier Ventures'],000000
002924,PowerUs,Series A,14000000.0,2022-05-31,,9.0,"['Carsten Thoma', 'Foundamental', 'General Catalyst', 'HV Capital', 'Mario Götze', 'Mathis Buchi', 'Maximilian Viessmann', 'Philipp Pausder', 'Y Combinator']",000881
002925,Productsup,Series B,70000000.0,2022-04-06,Bregal Milestone,2.0,"['Bregal Milestone', 'Nordwind Growth']",000000
002926,Project Eaden,Seed,8000000.0,2022-06-30,Creandum,5.0,"['Creandum', 'FoodLabs', 'Magnetic Capital', 'Mudcake', 'Shio Capital']",000000
002927,promiseQ,Pre-Seed,,2022-08-23,APX,2.0,"['APX', 'René Helbig']",000000
002928,Propel,Grant,100000.0,2022-06-16,Google for Startups,1.0,['Google for Startups'],000000
002929,Prosoma,Series A,14000000.0,2022-12-19,"Simpact Ventures, YouNick Mint",4.0,"['Pomerangels ASI S.A.', 'RST Ventures For Earth', 'Simpact Ventures', 'YouNick Mint']",000888
002930,Puls Project,Seed,2890000.0,2022-12-15,,,[''],000889
002931,Qdrant,Pre-Seed,2000000.0,2022-01-12,42CAP,3.0,"['42CAP', 'IBB Ventures', 'Mücke Roth & Company']",000000
002932,Qunomedical,Series A,10000000.0,2022-11-22,MS&AD Ventures,4.0,"['Bertelsmann Investments', 'Calm/Storm Ventures', 'DvH Ventures', 'MS&AD Ventures']",000896
002933,Quofox,Angel,,2022-02-10,,2.0,"['IT Brauerei', 'Tijen Onaran']",000897
002934,Rainmaker Society,Pre-Seed,,2022-03-28,,1.0,['Andreas Berger'],000000
002935,Raus,Seed,3000000.0,2022-11-22,,8.0,"['10x Founders', 'Bellevue Investments & Co', 'Boscor', 'ennea capital partners', 'Nathan Blecharczyk', 'NFQ Capital', 'Shio Capital', 'Speedinvest']",000000
002936,Raus,Seed,,2022-04-26,,3.0,"['Founderment Ventures', 'NFQ Capital', 'Speedinvest']",000000
002937,Razor Group,Series C,70000000.0,2022-12-21,L Catterton,7.0,"['468 Capital', 'Jebsen Capital', 'Jens Wasel', 'L Catterton', 'Latin Leap', 'Presight Capital', 'redalpine']",000000
002938,re:cap,Seed,3500000.0,2022-04-11,Mubadala Capital Ventures,1.0,['Mubadala Capital Ventures'],000000
002939,Reach,Pre-Seed,170000.0,2022-10-05,Antler,1.0,['Antler'],000000
002940,Realport,Venture - Series Unknown,5000000.0,2022-09-05,Cusp Capital,1.0,['Cusp Capital'],000904
002941,Rebolet,Seed,,2022-12-01,,1.0,['Artesian VC'],000906
002942,Recare,Venture - Series Unknown,,2022-12-09,,1.0,['Thieme'],000907
002943,Redimi,Seed,25000.0,2022-01-05,,3.0,"['INNOPLEX', 'INTAKT', 'PUMACY']",000000
002944,Redimi,Grant,100000.0,2022-07-19,XRPL Grants,1.0,['XRPL Grants'],000000
002945,Reflex Aerospace,Seed,7000000.0,2022-12-05,,2.0,"['Alpine Space Ventures', 'HTGF | High-Tech Gruenderfonds']",000000
002946,Replan.city,Angel,80000.0,2022-12-01,,,[''],000000
002947,Resonance UG,Pre-Seed,120000.0,2022-09-08,Techstars,1.0,['Techstars'],000000
002948,Reverse.supply,Seed,5000000.0,2022-03-17,Capnamic Ventures,5.0,"['Capnamic Ventures', 'DFF Ventures', 'Julia Bosch', 'Marcus Borner', 'PUSH VC']",000000
002949,Rex,Seed,5000000.0,2022-07-18,Vorwerk Ventures,22.0,"['Anselm Bauer', 'Benjamin Guenther', 'Calm/Storm Ventures', 'Christoph Baumeister', 'Edward Lando', 'Florian Seubert', 'Jon Oringer', 'Jonas Rieke', 'Julian Kley', 'Max-Josef Meier', 'Michelson Impact Ventures', 'Nadav Ben-Chanoch', 'Pareto Holdings', 'Philipp Roesch-Schlanderer', 'Picus Capital', 'Ron Zori', 'Sebastian Schuon', 'Simon Bolz', 'Simon Lorenz', 'Stefan Zuschke', 'Vlad Lata', 'Vorwerk Ventures']",000000
002950,RIDE Capital,Seed,3000000.0,2022-07-14,,5.0,"['Chris Adelsbach', 'Lea-Sophie Cramer', 'Mario Götze', 'Material Ventures', 'Verena Pausder']",000919
002951,Ridr,Angel,,2022-05-01,,,[''],000000
002952,roclub,Pre-Seed,2000000.0,2022-09-30,,,[''],000000
002953,Root Global,Pre-Seed,2500000.0,2022-07-27,Project A Ventures,11.0,"['Andreas Berger', 'Julius Koehler', 'Mario Götze', 'Markus Windisch', 'Maximilian Viessmann', 'Mengting Gao', 'Michael Brinkmann', 'Mike Rötgers', 'Nucleus Capital', 'Project A Ventures', 'Vassili Samolis']",000000
002954,Rouvia,Seed,2900000.0,2022-11-30,Cavalry Ventures,10.0,"['Angel Invest', 'Cavalry Ventures', 'Dynamo', 'Entrepreneur First', 'Ewald Kaiser', 'Markus Doetsch', 'Maximilian Schaefer', 'Nathan Ziele', 'Philipp Ortwein', 'Prequel Ventures']",000000
002955,SageWealth,Pre-Seed,350000.0,2022-08-24,Till Behnke,4.0,"['Hans Raffauf', 'Marie Louise Seelig', 'Marta Ra', 'Till Behnke']",000000
002956,SageWealth,Convertible Note,50000.0,2022-02-10,,1.0,['Fast Track Malmo'],000000
002957,Sanity Group,Series B,37600000.0,2022-09-26,British American Tobacco,3.0,"['British American Tobacco', 'Casa Verde Capital', 'redalpine']",000930
002958,Sapiema,Pre-Seed,50000.0,2022-12-20,,,[''],000000
002959,SaveStrike,Pre-Seed,1100000.0,2022-06-16,,,[''],000000
002960,score4more,Pre-Seed,1500000.0,2022-01-16,,,[''],000000
002961,Sedai Now,Venture - Series Unknown,,2022-10-04,Engel & Völkers Capital AG,1.0,['Engel & Völkers Capital AG'],000000
002962,Selectic,Pre-Seed,,2022-12-20,,1.0,['allygatr'],000000
002963,Send Me Pack,Angel,200000.0,2022-04-05,,2.0,"['Dagmar Wöhrl', 'Judith Williams']",000000
002964,Seniovo,Venture - Series Unknown,4300000.0,2022-10-20,,2.0,"['IBB Ventures', 'PT1']",000934
002965,Senken,Seed,,2022-10-01,,2.0,"['Vanagon Ventures', 'w3.fund']",000000
002966,sensmore,Angel,,2022-10-11,,7.0,"['Alex Zhigarev', 'Amar Shah', 'Arnoud Balhuizen', 'Dhyan VC', 'Entrepreneur First', 'Investitionsbank Berlin', 'Roby Stancel']",000000
