ID,Organization Name,Industries,Description,CB Rank (Company),Founded Date,Exit Date,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Acquired by,Announced Date Acquisition,IPO,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax
000011,AlfaDocs,"['Dental', 'Health Care', 'Medical', 'SaaS', 'Software']",AlfaDocs is a practice management system that connects doctors and facilitates patient care.,"24,998",2016-01-01,,https://www.alfadocs.com/it,,https://www.facebook.com/alfadocs.ita,https://www.linkedin.com/company/alfadocs,"AlfaDocs is a practice management system designed for healthcare professionals. It connects doctors and patients through a cloud-based platform and provides tools for digitalization, centralization, automation, and integration. AlfaDocs serves the healthcare industry, particularly in dentistry and general medical practice.","['Health Care', 'Software']",2.0,30.5,"Fabian Zolk, Niklas Fischer-Riepe",2,2023-02-10,2000000.0,Venture - Series Unknown,4069029.0,"Bayern Kapital, BayBG Venture Capital, SaaSgarage, Achim Lederle",2.0,4.0,0.0,,,,0,8614,76,51-200,51,200
000012,Alyne,"['Consulting', 'Information Technology', 'Risk Management', 'SaaS', 'Security', 'Software']",Alyne is a Munich based B2B RegTech offering organisations risk insight capabilities through a software as a service.,"63,100",2015-01-01,2021-09-22,https://www.alyne.com,https://twitter.com/alyne,https://www.facebook.com/AlyneDotCom,https://www.linkedin.com/company/alyne,"Alyne is an IT driven platform for defining common rules, assessing adherence and identifying related risk. The platform supports organisations in implementing legal and regulatory requirements across industry sectors, determining maturity, aligning with industry standards and sharing subject matter expertise. Alyne provides membership to the platform, usage of centrally hosted software and related consulting services.","['Information Technology', 'Privacy and Security', 'Professional Services', 'Software']",4.0,30.5,"Karl Viertel, Manuel Reil, Matthias Danner, Stefan Sulistyo",3,2018-11-27,3000000.0,Series A,3509153.0,"Techstars, Alstin Capital, Hannover Digital Investments",2.0,3.0,0.0,Was Acquired,Mitratech,2021-09-22,0,2578,24,11-50,11,50
000013,Ampeers Energy,"['Energy', 'Real Estate', 'Renewable Energy', 'Software']",Ampeers Energy develops energy management software for companies in the real estate industry.,"221,215",2019-01-01,,https://ampeersenergy.de/,https://twitter.com/ampeerse?lang=en,https://www.facebook.com/Ampeers-Energy-GmbH-109135650540629/,https://www.linkedin.com/company/ampeersenergy/,Ampeers Energy supports the real estate industry with intelligent software solutions. They offer companies in the real estate industry software-based services to reduce the CO2 footprint of their real estate. The platform provides an ICT ecosystem that is made up of various applications.,"['Energy', 'Real Estate', 'Software', 'Sustainability']",1.0,75.5,Tobias Muller,2,2024-03-07,,Corporate Round,,"SolarEdge Technologiesa, BIG, Sistems",1.0,3.0,0.0,,,,0,4741,90,51-200,51,200
000014,Apostera,"['Augmented Reality', 'Automotive', 'Computer Vision', 'Sensor', 'Software', 'Telecommunications']",Apostera is automotive company offering set of innovative products world-wide.,"100,823",2017-03-15,2022-02-10,http://apostera.com,,https://www.facebook.com/pg/Apostera,https://www.linkedin.com/company/apostera/,"Apostera is automotive company offering set of innovative products world-wide. Having headquarter in Germany we're addressing demand in Europe, North America and Asia. Possessing outstanding advanced engineering talent, Apostera creates open ADAS software platform as basis for set of solutions to assist driver and introduce new driving experience. Their software solutions, like true augmented reality, advanced camera-based perception and fusion solution, augmented surrounding view monitoring system, vehicle-to-vehicle and to-infrastructure components are supposed to help introducing changes and bringing mobility world to the new era of autonomous driving.","['Hardware', 'Software', 'Transportation']",3.0,75.5,"Andrey Golubinskiy, Mikhail Sokirnik, Victor Samoylenko",2,2019-04-06,,Convertible Note,1000000.0,"SMRK VC Fund, ICU Ventures",1.0,2.0,0.0,Was Acquired,Harman,2022-02-10,0,0,0,N/A-N/A,,
000015,Arculus,"['Industrial Automation', 'Logistics', 'Manufacturing', 'Software']","Arculus helps multi-variant manufacturers cope with the market's bespoke customisation demand, being more efficient and cost-effective.","23,260",2016-04-01,,https://www.arculus.de/,https://twitter.com/arculus_GmbH/,https://www.facebook.com/arculusGmbH/,https://www.linkedin.com/company/arculus-gmbh/,"Arculus provides hardware and software solutions for industrial automation. Arculus is the company behind the modular production revolution, headquartered in Ingolstadt, Germany. This company was founded with a mission to make a more efficient and flexible production system in multi-variant industries, implementing the most innovative solutions.","['Manufacturing', 'Science and Engineering', 'Software', 'Transportation']",4.0,175.5,"Fabian Rusitschka, Frank Hempel, Marius Leffler, Witold Kopytynski",9,2020-05-19,16000000.0,Series A,21001301.0,"EASME, SAP.iO, Atomico, EXIST, Federal Ministry for Economic Affairs and Energy (BMWi)",6.0,8.0,0.0,,,,0,9859,97,51-200,51,200
000016,Ariadne,"['Advertising', 'Analytics', 'Artificial Intelligence (AI)', 'Commercial Real Estate', 'Indoor Positioning', 'Location Based Services', 'Retail Technology', 'Shopping Mall', 'Smart Cities', 'Software']",Ariadne is a high technology company that provides people counting and customer flow analytics with its patented cutting edge AI technology.,"19,511",2019-03-25,,https://www.ariadne.inc/,https://twitter.com/ariadne_maps,https://www.facebook.com/ariadnemaps/,https://www.linkedin.com/company/ariadne-gmbh/,"Ariadne is a next-generation people flow analytics platform for physical retail stores, Shopping malls, Airports, and Smart cities that provides real-time people flow analytics throughout the entire shopper journey. Ariadne's solution uses signals emitted from smartphones carried by shoppers, without requiring any opt-in, and determines their exact location and journey in real-time with up to 30cm accuracy. Ariadne's solution offers several benefits to physical store businesses, such as understanding shelf and display effectiveness, optimizing category adjacencies and layout to increase conversion rates, real-time A/B testing of signage and point of sale material, enhancing the shopping experience with the right amount of employees at the right time and location, targeted staff scheduling, navigation offered to shoppers, and targeted push notifications about discounts, promotions and navigation in-store. Moreover, Ariadne's solution provides additional solutions such as ERP integration, conversion tracking, workforce management, catchment area, asset tracking, loyalty rate, and more. The platform provides accurate and certified GDPR privacy and can transform itself into a powerful omnichannel marketing and navigation tool when shoppers opt-in.","['Advertising', 'Artificial Intelligence (AI)', 'Commerce and Shopping', 'Data and Analytics', 'Hardware', 'Internet Services', 'Navigation and Mapping', 'Real Estate', 'Sales and Marketing', 'Science and Engineering', 'Software']",2.0,30.5,"Georgios Pipelidis, Nikos Tsiamitros",2,2023-05-23,7000000.0,Series A,9330731.0,"Lamda Development, Marathon Venture Capital, EIT Digital Accelerator, Raoul Oberman, Sasya Terra",1.0,5.0,0.0,,,,0,7146,47,11-50,11,50
000017,Arthur Technologies,"['Augmented Reality', 'Information Technology', 'Software', 'Virtual Reality']","Arthur Technologies enables enterprises to meet, collaborate, and manage their work in a VR virtual office from anywhere.","8,891",2016-01-01,,https://www.arthur.digital/,https://twitter.com/arthurspaces,https://www.facebook.com/public/Arthur-Technologies,https://www.linkedin.com/company/arthur-technologies/,"Arthur provides a virtual office space where enterprises and their employees can meet, collaborate, and manage their work from anywhere. It was established in 2016 and is headquartered in Munich, Germany.","['Hardware', 'Information Technology', 'Software']",1.0,75.5,Christoph Fleischmann,3,2021-09-17,,Venture - Series Unknown,2500000.0,"Draper Associates, s16vc, Boost VC, Duro Ventures",1.0,4.0,0.0,,,,0,5801,61,51-200,51,200
000018,Articly,"['Audio', 'Information Services', 'News']",Articly app for reading newspapers,"162,619",2019-01-01,,https://www.articly.de,https://twitter.com/articly_app,https://www.facebook.com/articlyapp,https://www.linkedin.com/company/articly-app,"ARTICLY gives discerning media consumers access to high-quality content in the form of spoken-aloud audio publications. This is accomplished by selecting articles from leading German-language publishers, incorporating professional soundtracks, and making them available centrally by subscription. This helps you to stay up to date while also learning the backstory of the top stories, despite your restricted time.","['Content and Publishing', 'Information Technology', 'Media and Entertainment', 'Music and Audio']",2.526315789473684,5.5,,1,2023-04-25,70000.0,Angel,76847.0,Carsten Maschmeyer,1.0,1.0,0.0,,,,0,859,8,2-10,2,10
000019,Artisense Corporation,"['Artificial Intelligence (AI)', 'Automotive', 'Autonomous Vehicles', 'Computer Vision', 'Geospatial', 'Indoor Positioning', 'Location Based Services', 'Mapping Services', 'Navigation', 'Robotics']","Artisense provides a globally leading 3D-vision technology, enabling vehicles, robots and UAVs navigate effectively in any space without GPS","176,613",2016-01-01,,https://www.artisense.ai,,,https://www.linkedin.com/company-beta/7950382/,"Artisense is a frontier-tech company that provides globally leading computer vision and artificial intelligence technology and data, which enable highly-scalable cost-effective Visual Inertial Positioning Systems (VINS) for GNSS-independent autonomous navigation.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Hardware', 'Internet Services', 'Navigation and Mapping', 'Science and Engineering', 'Software', 'Transportation']",1.0,30.5,Andrej Kulikov,2,2018-04-16,4100000.0,Seed,5327406.0,"Vito Ventures, Project A Ventures, Chris Hitchen",0.0,3.0,0.0,,,,0,,,,,
000020,ATAI Life Sciences,"['Biotechnology', 'Health Care', 'Life Science', 'Mental Health', 'Therapeutics']",ATAI Life Sciences develops innovative mental health treatments that address significant unmet medical needs.,"63,553",2018-01-01,2021-06-17,http://atai.life,https://twitter.com/ATAI_life,https://www.facebook.com/ATAI-Life-Sciences-203838193672014,https://www.linkedin.com/company/atai-life-sciences,"ATAI is a global biotech company builder that leverages a decentralized, technology- and data-driven platform model to serve millions of people suffering from mental health disorders. The company is committed to acquiring and efficiently developing innovative treatments that address significant unmet medical needs and lead to paradigm shifts in the mental health space. ATAI Life Sciences was founded in 2018 and is based in Munich, Bayern, Germany.","['Biotechnology', 'Health Care', 'Science and Engineering']",4.0,175.5,"Christian Angermayer, Florian Brand, Lars Christian Wilde, Srinivas Rao",11,2022-08-15,175000000.0,Post-IPO Debt,522100000.0,"Gaingels, Hercules Capital, Alpha Wave Global, FJ Labs, Catalio Capital Management",9.0,43.0,4.0,Made Acquisitions,,,1,27842,83,51-200,51,200
000021,BANOVO,"['Construction', 'Home Renovation', 'Interior Design']",BANOVO is a construction company that specializes in bathroom renovation.,"122,857",2015-05-01,,https://www.banovo.de/,https://twitter.com/banovo_de,https://www.facebook.com/banovo,https://www.linkedin.com/company/banovo-gmbh/,"BANOVO is a bathroom renovation company. They offer wall design, bathroom floors, lighting, and materials. Their services include bathroom floor plans, l-shaped bathrooms, mini baths, guest toilet design, and visually enlarging a small bathroom.","['Design', 'Real Estate']",2.0,75.5,"Mareike Waechter, Michael Dreimann",2,2021-04-01,,Series A,1477219.0,"Felix Jahn, WENVEST Capital, ApolloCapital, HW Capital, Dquadrat Equity Partner",1.0,6.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000022,bao solutions,"['Analytics', 'Artificial Intelligence (AI)', 'B2B', 'SaaS', 'Sales', 'Software']",Europe´s #1 Conversation Intelligence Platform for Sales Teams,"47,948",2017-01-01,,https://www.bao.ai,,https://www.facebook.com/bao-solutions-1966973956685164/,https://www.linkedin.com/company/baosolutions/,"bao is a German Sales-Tech-Company that helps sales teams to systematically and measurably improve their decision-making and continously increase conversion rates along the sales process (meeting rate & win rate). bao’s Conversation Intelligence software supports sales reps by identifying success factors in their conversations and assures that best practices are consistently applied by the whole team. By using dynamic talk tracks, structured and analyzable data is created from which sales teams can continuously improve and increase their deal-win rate.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Other', 'Sales and Marketing', 'Science and Engineering', 'Software']",3.0,30.5,"Benedikt Reschberger, Patrick Strunkmann-Meister, Sven Holberg",2,2021-08-03,2500000.0,Seed,4151583.0,"Peak, BayBG Venture Capital, SaaSgarage, Alexander Bruehl",3.0,4.0,0.0,,,,0,2580,40,11-50,11,50
000023,Beducated,['Health Care'],Beducated is the #1 resource for improving sexual health & happiness.,"55,259",2019-01-01,,https://beducated.com,,,https://www.linkedin.com/company/11823611/,"Beducated is a sexual education platform that delivers premium courses on mindful sex and relationships. It creates educational content for soulful lovers, open-minded people, and people looking for a joyful sex life. Every day, it enables people to become extraordinary lovers.",['Health Care'],2.0,30.5,"Mariah Freya, Phil Steinweber",3,2021-06-01,400000.0,Seed,1035475.0,JVH Ventures,0.0,1.0,0.0,,,,0,2011,11,11-50,11,50
000024,Bernstein.io,"['Bitcoin', 'Blockchain', 'Intellectual Property', 'Legal', 'Project Management', 'SaaS']",Bernstein allows companies to create a digital trail of records of their innovation processes using blockchain technology.,"124,579",2016-09-01,,https://www.bernstein.io/,https://twitter.com/Bernstein_io,https://www.facebook.com/bernstein.io/,https://www.linkedin.com/company/bernstein-technologies-gmbh/,"Bernstein provides intellectual property management solutions. It provides a notarization platform that allows individuals, companies, and institutions to secure trade secrets, fight patent trolls, and prepare a prior use defense.  Bernstein allows users to create a trail of records of the whole innovation process on the bitcoin blockchain, link subsequent updates and proofs of use, and disclose them on a public database and IPFS; and receive a blockchain certificate that can prove existence, integrity, and ownership. Florian Weigand, Marco Barulli, and Paul Reboh founded it in 2016, with its headquarters in Munich in Germany.","['Administrative Services', 'Blockchain and Cryptocurrency', 'Financial Services', 'Other', 'Payments', 'Professional Services', 'Software']",3.0,5.5,"Jean-Maxime Riviere, Marco Barulli, Paul Reboh",2,2018-07-17,270000.0,Seed,314638.0,"Wayra, Motu Ventures",0.0,2.0,0.0,,,,0,597,3,2-10,2,10
000025,Bilendo,"['Accounting', 'Financial Services', 'FinTech', 'Information Technology', 'SaaS', 'Software']",Most companies waste resources to collect and manage their receivables. Bilendo helps to secure these resources and to make good decisions.,"88,188",2015-04-02,,https://www.bilendo.de/,https://www.twitter.com/bilendoapp,https://www.facebook.com/bilendoapp/,https://www.linkedin.com/company/bilendo-gmbh,"Bilendo - your cloud software for more efficiency in Accounts Receivable. Bilendo is an AR automation platform that helps companies ensure scalable processes in accounts receivable, reduce costs, reduce DSO and increase liquidity. At Bilendo, we know how important it is to make debtor processes flexible and efficient. Because of their complexity, these processes require an enormous amount of resources: they are time-consuming and cost-intensive. By displaying and communicating all processes through a central point, companies avoid problems with internal coordination and processing. With workflow-based automation, processes run naturally and continuously, depending on the desired configuration - completely independent of the existing infrastructure. Our customers include hundreds of enterprise companies from a wide variety of industries. Our cloud platform supports these companies in increasing their efficiency by primarily ensuring lower process and capital costs, optimized working capital and reduced payment defaults. In addition, with Bilendo, highly relevant and up to date debtor data is centrally available that companies can use to make effective decisions. Bilendo was founded in 2015 by Markus Haggenmiller, Jakob Beyer and Florian Kappert in Munich. Together with their international team, they have set themselves the goal of relieving companies of complex processes and ensuring scalable growth. Learn more about Bilendo: www.bilendo.de or follow us on LinkedIn: www.linkedin.com/company/bilendo-gmbh Free test now: www.bilendo.de/plattform/testaccount Career at Bilendo: www.bilendo.de/careers Read more about successful credit management with Bilendo: https://www.bilendo.de/library/credit-management","['Financial Services', 'Information Technology', 'Professional Services', 'Software']",3.0,30.5,"Florian Kappert, Jakob Beyer, Markus Haggenmiller",2,2017-05-02,1700000.0,Seed,2665895.0,"Bayern Kapital, Neosfer, Tamaz Georgadze, Motu Ventures, Frank Freund",1.0,7.0,0.0,,,,0,803,26,11-50,11,50
000026,BITREAL Capital,"['Advice', 'Bitcoin', 'Commercial Real Estate', 'Finance', 'Financial Exchanges', 'Financial Services', 'FinTech', 'Hedge Funds', 'Real Estate Investment', 'Venture Capital']",BITREAL Capital provides regulated solutions to cryptocurrency owners as well as professional and semi-professional investors. ,"498,872",2017-01-01,,https://bitrealcapital.com/,https://twitter.com/bitrealcapital,https://www.facebook.com/bitrealcapital/,https://www.linkedin.com/company/bitreal-capital,BITREAL Capital provides professional and regulated solutions to cryptocurrency owners and investors as well as traditional professional and semi-professional investors. BITREAL Capital is currently in the final phase of the launch of the BRECO series of funds which can be used effectively to:  1. Benefit from the chances presented by the German premium commercial real estate market 2. Enter the world and opportunities of Virtual Currencies with strictly limited downside 3. Secure price gains of Virtual Currencies by directly exchanging Bitcoins for Interests in the Fund. 4. Get a call option on Bitcoin as a Fiat Investor. Investors choose wether they want their equity and profits paid out in Fiat or Bitcoin/Ether,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Media and Entertainment', 'Payments', 'Real Estate', 'Software']",1.0,30.5,Boris Hardi,1,2018-01-17,,Private Equity,,,0.0,0.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
000027,Black Manta Capital Partners,"['Finance', 'Financial Services', 'FinTech', 'Real Estate']",Black Manta Capital Partners financial and investment services.,"327,611",2018-01-01,,https://blackmanta.capital/,https://twitter.com/BlackMantaCap,,https://www.linkedin.com/company/blackmantacapitalpartners/,"Black Manta Capital Partners is a financial company that focuses on tokenization. Tokens provide investors with equity rights, profit rights, and governance rights. Security token offerings aim to set a standard. They offered funds, commodities, small and medium-sized businesses, and real estate.","['Financial Services', 'Real Estate']",2.0,5.5,"Alexander Rapatz, Christian Platzer",1,2020-08-14,,Venture - Series Unknown,,"COSIMO Ventures, SORS",0.0,2.0,0.0,,,,0,2806,19,2-10,2,10
000028,Bleenco,['Software'],Automation software for industrial safety and efficiency.,"337,801",2017-01-01,,https://bleenco.com/,,,https://www.linkedin.com/company/bleenco/,Bleenco is a Munich-based company building software platform for industrial automation. Our proprietary multi-sided platform addresses some of the biggest challenges in field of safety and operational efficiency.,['Software'],1.0,30.5,Irman Abdić,1,2018-09-28,,Seed,,Boundary Holding,0.0,1.0,0.0,,,,0,1802,5,11-50,11,50
000029,Blickfeld,"['Electronics', 'Manufacturing', 'Sensor', 'Software']",Blickfeld offers LiDAR sensors and detection software for autonomous mobility and IoT applications.,"16,224",2017-01-01,,https://www.blickfeld.com/,https://twitter.com/BlickfeldLiDAR,https://www.facebook.com/pg/BlickfeldGmbH/,https://www.linkedin.com/company/blickfeld-gmbh/,"Blickfeld is a producer of LiDAR sensors and detection software for autonomous mobility and IoT applications. The LiDAR sensors are designed to measure direct distance information in 3D. It is based on patented silicon MEMS mirrors and commercial off-the-shelf components.  The company was founded in 2017 and is headquartered in Munich, Germany.","['Consumer Electronics', 'Hardware', 'Manufacturing', 'Software']",3.0,75.5,"Florian Petit, Mathias Muller, Rolf Wojtech",6,2023-12-18,7500000.0,Venture - Series Unknown,64182290.0,"European Investment Bank, HTGF | High-Tech Gruenderfonds, Bayern Kapital, Tengelmann Ventures, UVC Partners",8.0,10.0,0.0,,,,0,8761,54,51-200,51,200
